Gene stable ID,Strand,Chromosome/scaffold name,Gene description,Gene start (bp),Gene end (bp),Transcription start site (TSS)
Zm00001eb207990,1,4,Zm00001e025215,246104785,246106881,246104785
Zm00001eb207990,1,4,Zm00001e025215,246104785,246106881,246104803
Zm00001eb207990,1,4,Zm00001e025215,246104785,246106881,246104793
Zm00001eb386190,-1,9,Zm00001e037392,94126702,94129768,94129768
Zm00001eb386190,-1,9,Zm00001e037392,94126702,94129768,94128223
Zm00001eb293260,1,6,Zm00001e032175,171105547,171110211,171105547
Zm00001eb293260,1,6,Zm00001e032175,171105547,171110211,171105634
Zm00001eb116700,-1,2,Zm00001e121764,239176107,239176472,239176472
Zm00001eb203710,-1,4,Zm00001e114536,229574142,229584060,229584060
Zm00001eb049230,-1,1,Zm00001e106749,252236794,252238113,252238113
Zm00001eb181160,-1,4,Zm00001e022619,104832432,104840331,104840331
Zm00001eb078300,-1,2,Zm00001e116086,33490730,33498659,33498659
Zm00001eb078300,-1,2,Zm00001e116086,33490730,33498659,33498215
Zm00001eb396280,1,9,Zm00001e038346,141864715,141866140,141864715
Zm00001eb199770,-1,4,Zm00001e024372,205037164,205041566,205041124
Zm00001eb199770,-1,4,Zm00001e024372,205037164,205041566,205041566
Zm00001eb395980,-1,9,Zm00001e038320,140760378,140762502,140762502
Zm00001eb143650,1,3,Zm00001e018868,164884990,164886965,164884990
Zm00001eb304470,1,7,Zm00001e033224,26627343,26628223,26627343
Zm00001eb189150,-1,4,Zm00001e023403,168283961,168287253,168287253
Zm00001eb189150,-1,4,Zm00001e023403,168283961,168287253,168287048
Zm00001eb130180,1,3,Zm00001e017489,54367137,54377004,54367137
Zm00001eb359440,-1,8,Zm00001e027987,151603423,151609621,151609621
Zm00001eb359440,-1,8,Zm00001e027987,151603423,151609621,151609468
Zm00001eb232710,-1,5,Zm00001e013700,84473020,84479433,84479433
Zm00001eb232710,-1,5,Zm00001e013700,84473020,84479433,84475883
Zm00001eb184620,1,4,Zm00001e022967,143268564,143273954,143268564
Zm00001eb383580,-1,9,Zm00001e037119,70041208,70042911,70042911
Zm00001eb345920,-1,8,Zm00001e141411,82947965,82951663,82951663
Zm00001eb136040,-1,3,Zm00001e018116,124566019,124571053,124571053
Zm00001eb059880,1,1,Zm00001e107853,291997543,291998211,291997543
Zm00001eb059880,1,1,Zm00001e107853,291997543,291998211,291997566
Zm00001eb263370,-1,6,Zm00001e145141,21558117,21565296,21565296
Zm00001eb069140,1,2,Zm00001e006810,6899841,6905677,6899908
Zm00001eb069140,1,2,Zm00001e006810,6899841,6905677,6899841
Zm00001eb069140,1,2,Zm00001e006810,6899841,6905677,6902886
Zm00001eb069140,1,2,Zm00001e006810,6899841,6905677,6902938
Zm00001eb222530,-1,5,Zm00001e012757,33307894,33308746,33308746
Zm00001eb217070,1,5,Zm00001e012253,13569918,13573339,13569918
Zm00001eb010000,1,1,Zm00001e000975,31503160,31503991,31503160
Zm00001eb358930,1,8,Zm00001e027933,149732148,149736055,149732276
Zm00001eb358930,1,8,Zm00001e027933,149732148,149736055,149732277
Zm00001eb358930,1,8,Zm00001e027933,149732148,149736055,149732148
Zm00001eb339180,-1,8,Zm00001e026106,28898822,28899805,28899805
Zm00001eb322790,-1,7,Zm00001e035111,162433418,162435458,162435458
Zm00001eb291710,1,6,Zm00001e032031,167825722,167838974,167825722
Zm00001eb141850,-1,3,Zm00001e125915,155905266,155905928,155905928
Zm00001eb120850,-1,3,Zm00001e016543,5511541,5512409,5512409
Zm00001eb356830,1,8,Zm00001e142975,141348997,141359064,141348997
Zm00001eb218750,1,5,Zm00001e012412,18091348,18097149,18091348
Zm00001eb218750,1,5,Zm00001e012412,18091348,18097149,18093274
Zm00001eb217280,-1,5,Zm00001e128545,14100282,14103487,14103487
Zm00001eb314640,1,7,Zm00001e137555,129973132,129976510,129973132
Zm00001eb059740,-1,1,Zm00001e005891,291254519,291255465,291255465
Zm00001eb127300,-1,3,Zm00001e017214,33935588,33936913,33936860
Zm00001eb127300,-1,3,Zm00001e017214,33935588,33936913,33936913
Zm00001eb016150,1,1,Zm00001e001592,56472255,56473079,56472255
Zm00001eb053010,1,1,Zm00001e005259,266954384,266958632,266954384
Zm00001eb136140,-1,3,Zm00001e125116,125446926,125447390,125447390
Zm00001eb305010,-1,7,Zm00001e033282,30367457,30370663,30370663
Zm00001eb018880,1,1,Zm00001e001874,67797248,67798285,67797248
Zm00001eb426080,1,10,Zm00001e041183,131470917,131476135,131470917
Zm00001eb134870,1,3,Zm00001e017988,113528294,113529468,113528294
Zm00001eb241710,1,5,Zm00001e132628,166906023,166906468,166906023
Zm00001eb073280,-1,2,Zm00001e007173,16510121,16511725,16511725
Zm00001eb230750,-1,5,Zm00001e013516,74700850,74704928,74703616
Zm00001eb230750,-1,5,Zm00001e013516,74700850,74704928,74704928
Zm00001eb013820,1,1,Zm00001e101317,46252425,46252982,46252425
Zm00001eb417800,1,10,Zm00001e156948,90420022,90420582,90420022
Zm00001eb012130,1,1,Zm00001e001198,39613348,39616186,39613525
Zm00001eb012130,1,1,Zm00001e001198,39613348,39616186,39613486
Zm00001eb012130,1,1,Zm00001e001198,39613348,39616186,39613348
Zm00001eb050240,1,1,Zm00001e004997,256227422,256232945,256227422
Zm00001eb289530,-1,6,Zm00001e031817,162413957,162420946,162420894
Zm00001eb289530,-1,6,Zm00001e031817,162413957,162420946,162420946
Zm00001eb289530,-1,6,Zm00001e031817,162413957,162420946,162420770
Zm00001eb038410,-1,1,Zm00001e003833,205011042,205012822,205012822
Zm00001eb301390,-1,7,Zm00001e134512,10338387,10344650,10344650
Zm00001eb125310,1,3,Zm00001e122488,22441982,22442809,22441982
Zm00001eb439690,1,scaf_237,Zm00001e159421,5580,9341,5580
Zm00001eb026980,-1,1,Zm00001e002706,127666682,127667807,127667807
Zm00001eb247320,1,5,Zm00001e015121,189089888,189093286,189089888
Zm00001eb213540,1,5,Zm00001e011919,5371642,5372432,5371642
Zm00001eb040920,-1,1,Zm00001e004071,215404943,215414564,215414564
Zm00001eb040920,-1,1,Zm00001e004071,215404943,215414564,215414339
Zm00001eb006860,-1,1,Zm00001e000674,19814662,19818158,19818141
Zm00001eb006860,-1,1,Zm00001e000674,19814662,19818158,19818158
Zm00001eb006860,-1,1,Zm00001e000674,19814662,19818158,19816318
Zm00001eb377170,-1,9,Zm00001e036516,21834848,21848622,21848622
Zm00001eb305510,1,7,Zm00001e135103,33737320,33738042,33737320
Zm00001eb399990,1,9,Zm00001e038704,152626218,152632301,152626218
Zm00001eb379340,-1,9,Zm00001e036709,29380027,29382175,29382175
Zm00001eb216810,1,5,Zm00001e012230,12810550,12815717,12810550
Zm00001eb011120,-1,1,Zm00001e101040,35784440,35785125,35785125
Zm00001eb344270,-1,8,Zm00001e026581,74125326,74126273,74126273
Zm00001eb391400,1,9,Zm00001e037884,121731641,121732909,121731641
Zm00001eb123700,-1,3,Zm00001e016846,15191278,15193703,15193703
Zm00001eb334210,-1,8,Zm00001e025625,7922139,7926502,7926502
Zm00001eb256610,1,5,Zm00001e134039,219970579,219971365,219970579
Zm00001eb010150,1,1,Zm00001e000993,32046737,32053530,32047147
Zm00001eb010150,1,1,Zm00001e000993,32046737,32053530,32046737
Zm00001eb018250,-1,1,Zm00001e001819,65109281,65111823,65111823
Zm00001eb236520,-1,5,Zm00001e014093,126637102,126643345,126643345
Zm00001eb236520,-1,5,Zm00001e014093,126637102,126643345,126638931
Zm00001eb260720,-1,6,Zm00001e029180,8885869,8894322,8894322
Zm00001eb112920,-1,2,Zm00001e011108,228683751,228685067,228685067
Zm00001eb185100,-1,4,Zm00001e023018,147391244,147394820,147394715
Zm00001eb185100,-1,4,Zm00001e023018,147391244,147394820,147394820
Zm00001eb065640,-1,2,Zm00001e006487,765492,766740,766740
Zm00001eb030430,-1,1,Zm00001e003084,168441018,168443308,168443308
Zm00001eb377350,1,9,Zm00001e036534,22449263,22453994,22449263
Zm00001eb055950,-1,1,Zm00001e005548,278287404,278289891,278289891
Zm00001eb003070,1,1,Zm00001e000312,8298052,8307439,8298052
Zm00001eb003070,1,1,Zm00001e000312,8298052,8307439,8303887
Zm00001eb083480,-1,2,Zm00001e116725,57012557,57016626,57016626
Zm00001eb246760,1,5,Zm00001e015073,187056556,187064381,187056671
Zm00001eb246760,1,5,Zm00001e015073,187056556,187064381,187056556
Zm00001eb246760,1,5,Zm00001e015073,187056556,187064381,187056650
Zm00001eb098630,1,2,Zm00001e009740,181883030,181883950,181883030
Zm00001eb299750,-1,7,Zm00001e032785,4883690,4903013,4902772
Zm00001eb299750,-1,7,Zm00001e032785,4883690,4903013,4903013
Zm00001eb246120,1,5,Zm00001e015011,184406912,184411043,184406912
Zm00001eb053770,1,1,Zm00001e005335,269841326,269849036,269841326
Zm00001eb242720,-1,5,Zm00001e014722,172174339,172179862,172179862
Zm00001eb142570,1,3,Zm00001e018765,159090129,159093192,159090129
Zm00001eb438700,-1,scaf_194,Zm00001e159207,26271,30032,30032
Zm00001eb284080,1,6,Zm00001e031274,142954850,142970438,142954870
Zm00001eb284080,1,6,Zm00001e031274,142954850,142970438,142954850
Zm00001eb348710,-1,8,Zm00001e026999,103440799,103443223,103443223
Zm00001eb281040,-1,6,Zm00001e148802,131131219,131132942,131132942
Zm00001eb129010,1,3,Zm00001e017388,45238602,45240234,45238602
Zm00001eb368970,-1,8,Zm00001e028862,177186624,177189871,177189871
Zm00001eb291830,1,6,Zm00001e149781,167991035,167991328,167991035
Zm00001eb292190,1,6,Zm00001e032073,168748790,168749515,168748790
Zm00001eb022020,1,1,Zm00001e102242,84170395,84174207,84170395
Zm00001eb057610,-1,1,Zm00001e005712,284298428,284299462,284299462
Zm00001eb336700,-1,8,Zm00001e025879,17792796,17793800,17793800
Zm00001eb408140,1,10,Zm00001e039498,10385867,10386733,10385867
Zm00001eb019010,1,1,Zm00001e001887,68073100,68074183,68073100
Zm00001eb147610,1,3,Zm00001e019243,183336559,183342637,183336559
Zm00001eb422500,1,10,Zm00001e040882,119439523,119443721,119439572
Zm00001eb422500,1,10,Zm00001e040882,119439523,119443721,119440844
Zm00001eb422500,1,10,Zm00001e040882,119439523,119443721,119440636
Zm00001eb422500,1,10,Zm00001e040882,119439523,119443721,119439523
Zm00001eb335320,1,8,Zm00001e025746,13081333,13082635,13081333
Zm00001eb183790,1,4,Zm00001e111974,136327639,136333357,136327639
Zm00001eb070700,1,2,Zm00001e006934,10277610,10282470,10277610
Zm00001eb059510,-1,1,Zm00001e005877,290550477,290551197,290551197
Zm00001eb395060,-1,9,Zm00001e038232,136694510,136696263,136696263
Zm00001eb113010,1,2,Zm00001e011117,228982139,228986198,228982139
Zm00001eb422090,1,10,Zm00001e040845,117376805,117380718,117376805
Zm00001eb163210,-1,3,Zm00001e020818,235163653,235166005,235166005
Zm00001eb011980,1,1,Zm00001e001184,38971202,38979070,38971202
Zm00001eb117520,-1,2,Zm00001e011511,240939697,240942954,240942954
Zm00001eb117520,-1,2,Zm00001e011511,240939697,240942954,240942880
Zm00001eb117520,-1,2,Zm00001e011511,240939697,240942954,240942923
Zm00001eb117520,-1,2,Zm00001e011511,240939697,240942954,240942799
Zm00001eb089840,-1,2,Zm00001e008836,118391490,118413535,118413535
Zm00001eb089840,-1,2,Zm00001e008836,118391490,118413535,118393124
Zm00001eb049780,-1,1,Zm00001e004953,254204422,254206434,254206434
Zm00001eb379710,-1,9,Zm00001e151104,32356398,32363053,32363053
Zm00001eb302250,1,7,Zm00001e033014,13945446,13946263,13945446
Zm00001eb304240,1,7,Zm00001e033203,25046881,25047518,25046881
Zm00001eb041280,-1,1,Zm00001e004110,217338977,217341228,217341228
Zm00001eb041280,-1,1,Zm00001e004110,217338977,217341228,217340876
Zm00001eb047660,-1,1,Zm00001e004741,244930616,244932227,244932227
Zm00001eb430090,-1,10,Zm00001e041559,142498129,142504522,142504522
Zm00001eb401100,-1,9,Zm00001e038801,155364952,155368938,155368938
Zm00001eb166920,1,4,Zm00001e021175,6523626,6529658,6523626
Zm00001eb308620,-1,7,Zm00001e033661,78250154,78254810,78254658
Zm00001eb308620,-1,7,Zm00001e033661,78250154,78254810,78254810
Zm00001eb157310,1,3,Zm00001e020209,216094109,216095684,216094109
Zm00001eb355840,1,8,Zm00001e027644,137648841,137654079,137651394
Zm00001eb355840,1,8,Zm00001e027644,137648841,137654079,137648841
Zm00001eb430600,-1,10,Zm00001e041608,143832801,143836242,143836153
Zm00001eb430600,-1,10,Zm00001e041608,143832801,143836242,143836242
Zm00001eb075540,1,2,Zm00001e007414,24391120,24393388,24391120
Zm00001eb387870,-1,9,Zm00001e037551,104383600,104395584,104395496
Zm00001eb387870,-1,9,Zm00001e037551,104383600,104395584,104395584
Zm00001eb028650,-1,1,Zm00001e002896,152574086,152575495,152575495
Zm00001eb079390,1,2,Zm00001e007790,38457302,38458960,38457302
Zm00001eb354460,1,8,Zm00001e142743,132211294,132212022,132211294
Zm00001eb279800,-1,6,Zm00001e148649,124413124,124418636,124418636
Zm00001eb147510,1,3,Zm00001e019237,183111513,183113625,183111513
Zm00001eb019250,-1,1,Zm00001e001910,69013392,69017436,69017436
Zm00001eb019250,-1,1,Zm00001e001910,69013392,69017436,69017358
Zm00001eb155710,1,3,Zm00001e020055,210847204,210853152,210847204
Zm00001eb103260,1,2,Zm00001e010212,201176116,201179396,201176116
Zm00001eb103260,1,2,Zm00001e010212,201176116,201179396,201176133
Zm00001eb023480,1,1,Zm00001e002343,93316526,93316960,93316526
Zm00001eb270590,-1,6,Zm00001e147324,81930387,81935942,81935942
Zm00001eb168840,-1,4,Zm00001e021361,16018948,16027266,16027266
Zm00001eb168840,-1,4,Zm00001e021361,16018948,16027266,16027209
Zm00001eb090340,1,2,Zm00001e118502,124304011,124304659,124304011
Zm00001eb018070,-1,1,Zm00001e001803,64371137,64372984,64372984
Zm00001eb159710,-1,3,Zm00001e020452,223826689,223830475,223830475
Zm00001eb244080,-1,5,Zm00001e014842,177612690,177617732,177617732
Zm00001eb244080,-1,5,Zm00001e014842,177612690,177617732,177617537
Zm00001eb244080,-1,5,Zm00001e014842,177612690,177617732,177617668
Zm00001eb005800,-1,1,Zm00001e000565,16507065,16525372,16525372
Zm00001eb153750,-1,3,Zm00001e019865,204742063,204745017,204745009
Zm00001eb153750,-1,3,Zm00001e019865,204742063,204745017,204745017
Zm00001eb183220,-1,4,Zm00001e022821,130979306,130980537,130980537
Zm00001eb183220,-1,4,Zm00001e022821,130979306,130980537,130980530
Zm00001eb160300,1,3,Zm00001e020520,225848978,225883119,225848978
Zm00001eb160300,1,3,Zm00001e020520,225848978,225883119,225849223
Zm00001eb280980,-1,6,Zm00001e030998,130945009,130949756,130949333
Zm00001eb280980,-1,6,Zm00001e030998,130945009,130949756,130949756
Zm00001eb016420,-1,1,Zm00001e001620,57455335,57457872,57457872
Zm00001eb337350,-1,8,Zm00001e025941,20696876,20704663,20704663
Zm00001eb337350,-1,8,Zm00001e025941,20696876,20704663,20704531
Zm00001eb332510,-1,8,Zm00001e025463,1624406,1629193,1626964
Zm00001eb332510,-1,8,Zm00001e025463,1624406,1629193,1629193
Zm00001eb269620,1,6,Zm00001e029898,73974732,73975897,73974732
Zm00001eb196520,-1,4,Zm00001e024097,192734548,192740379,192740379
Zm00001eb232220,1,5,Zm00001e013651,81545724,81560304,81545724
Zm00001eb289300,1,6,Zm00001e031797,161837684,161843784,161837684
Zm00001eb289300,1,6,Zm00001e031797,161837684,161843784,161841811
Zm00001eb071530,1,2,Zm00001e115500,12103843,12104064,12103843
Zm00001eb100920,1,2,Zm00001e009959,191790294,191814082,191790294
Zm00001eb100920,1,2,Zm00001e009959,191790294,191814082,191790431
Zm00001eb091130,-1,2,Zm00001e008981,133772518,133773726,133773726
Zm00001eb047420,1,1,Zm00001e106534,243530470,243531488,243530470
Zm00001eb255120,1,5,Zm00001e015866,216382485,216384228,216382485
Zm00001eb255120,1,5,Zm00001e015866,216382485,216384228,216382561
Zm00001eb255120,1,5,Zm00001e015866,216382485,216384228,216382487
Zm00001eb282800,-1,6,Zm00001e031156,138179577,138184361,138184361
Zm00001eb282800,-1,6,Zm00001e031156,138179577,138184361,138184272
Zm00001eb295260,1,6,Zm00001e149975,174885500,174886310,174885500
Zm00001eb238990,1,5,Zm00001e014371,149894903,149907534,149894963
Zm00001eb238990,1,5,Zm00001e014371,149894903,149907534,149894903
Zm00001eb276140,-1,6,Zm00001e030545,109973332,109979627,109979627
Zm00001eb159450,-1,3,Zm00001e020422,223098214,223100044,223100044
Zm00001eb028230,1,1,Zm00001e103881,147994434,147995295,147994434
Zm00001eb089200,-1,2,Zm00001e008782,114970096,114971613,114971613
Zm00001eb419240,-1,10,Zm00001e157179,99138640,99139182,99139182
Zm00001eb027120,-1,1,Zm00001e002725,129198232,129199025,129199025
Zm00001eb338880,1,8,Zm00001e026074,27436283,27439799,27436283
Zm00001eb273890,1,6,Zm00001e147895,101269296,101269655,101269296
Zm00001eb369180,1,8,Zm00001e144059,177673686,177673994,177673686
Zm00001eb061310,1,1,Zm00001e006043,296464210,296467882,296464210
Zm00001eb218100,1,5,Zm00001e128602,15850372,15850809,15850372
Zm00001eb104740,-1,2,Zm00001e010341,205194668,205198199,205197996
Zm00001eb104740,-1,2,Zm00001e010341,205194668,205198199,205198199
Zm00001eb247810,1,5,Zm00001e133339,191012884,191013249,191012884
Zm00001eb184170,-1,4,Zm00001e112048,139336943,139343876,139343876
Zm00001eb430530,1,10,Zm00001e041602,143795359,143796443,143795359
Zm00001eb337670,-1,8,Zm00001e139806,22197323,22197807,22197807
Zm00001eb195810,-1,4,Zm00001e024032,190992012,190999332,190999332
Zm00001eb195810,-1,4,Zm00001e024032,190992012,190999332,190997548
Zm00001eb132590,1,3,Zm00001e017750,85695693,85696492,85695693
Zm00001eb270550,-1,6,Zm00001e030005,81689539,81690339,81690339
Zm00001eb136780,1,3,Zm00001e125237,129237050,129238428,129237050
Zm00001eb007340,-1,1,Zm00001e100660,21760843,21761211,21761211
Zm00001eb363990,1,8,Zm00001e143657,166805110,166805409,166805110
Zm00001eb136670,-1,3,Zm00001e125221,128668061,128668408,128668408
Zm00001eb355150,1,8,Zm00001e027585,135387600,135388767,135387600
Zm00001eb238440,1,5,Zm00001e132077,145893881,145894532,145893881
Zm00001eb133500,-1,3,Zm00001e017848,100254133,100264951,100264951
Zm00001eb029530,1,1,Zm00001e002991,160706233,160710253,160706233
Zm00001eb171570,1,4,Zm00001e021634,30455321,30456267,30455321
Zm00001eb199440,1,4,Zm00001e113865,204114772,204115326,204114772
Zm00001eb259130,-1,5,Zm00001e016250,224485286,224494341,224494341
Zm00001eb259130,-1,5,Zm00001e016250,224485286,224494341,224494174
Zm00001eb290780,1,6,Zm00001e031935,165546540,165549809,165546540
Zm00001eb282370,-1,6,Zm00001e148921,135679937,135681527,135681527
Zm00001eb168370,1,4,Zm00001e108687,13298950,13299511,13298950
Zm00001eb225930,-1,5,Zm00001e129587,52993233,52995270,52995270
Zm00001eb123720,-1,3,Zm00001e122290,15208425,15209860,15209860
Zm00001eb008450,-1,1,Zm00001e000826,25523961,25531536,25531536
Zm00001eb260100,1,6,Zm00001e029124,6553642,6560118,6553642
Zm00001eb260100,1,6,Zm00001e029124,6553642,6560118,6553746
Zm00001eb029520,-1,1,Zm00001e002989,160694463,160697872,160697872
Zm00001eb239820,1,5,Zm00001e132347,156365233,156366294,156365233
Zm00001eb149720,-1,3,Zm00001e019462,190842572,190847442,190847442
Zm00001eb149720,-1,3,Zm00001e019462,190842572,190847442,190847422
Zm00001eb369320,1,8,Zm00001e028897,177836733,177839632,177836733
Zm00001eb017870,-1,1,Zm00001e001764,63648868,63649608,63649608
Zm00001eb414420,-1,10,Zm00001e040083,70340254,70343339,70343339
Zm00001eb437100,-1,scaf_100,Zm00001e160118,76773,77844,77844
Zm00001eb053450,-1,1,Zm00001e107206,268826681,268827328,268827328
Zm00001eb221140,1,5,Zm00001e012622,26805081,26809307,26805081
Zm00001eb356960,-1,8,Zm00001e027762,142079498,142080706,142080706
Zm00001eb357060,1,8,Zm00001e142995,142499815,142500437,142499815
Zm00001eb261050,-1,6,Zm00001e029218,10642492,10642874,10642874
Zm00001eb238690,1,5,Zm00001e132116,147788252,147788793,147788351
Zm00001eb238690,1,5,Zm00001e132116,147788252,147788793,147788252
Zm00001eb144760,-1,3,Zm00001e018972,172840161,172843263,172843189
Zm00001eb144760,-1,3,Zm00001e018972,172840161,172843263,172843175
Zm00001eb144760,-1,3,Zm00001e018972,172840161,172843263,172843201
Zm00001eb144760,-1,3,Zm00001e018972,172840161,172843263,172843263
