Gene stable ID,Triticum aestivum gene stable ID,"Triticum aestivum orthology confidence [0 low, 1 high]"
AT1G03110,TraesCS5B02G389600,0
AT1G03110,TraesCS5A02G384800,0
AT1G03140,TraesCS4B02G038900,0
AT1G03140,TraesCS4A02G275400,0
AT1G03140,TraesCS2A02G197100,1
AT1G03140,TraesCS2D02G205000,1
AT1G03140,TraesCS2B02G224600,1
AT1G03140,TraesCS4D02G035800,0
AT1G03150,TraesCS4A02G276200,0
AT1G03150,TraesCS4D02G034900,0
AT1G03260,TraesCS2D02G137100,0
AT1G03260,TraesCS2A02G134900,0
AT1G03260,TraesCS2B02G158500,0
AT1G03270,TraesCS1D02G247300,0
AT1G03270,TraesCS7A02G478600,0
AT1G03270,TraesCS7D02G466000,0
AT1G03270,TraesCS1A02G247900,0
AT1G03270,TraesCS1B02G258300,0
AT1G03270,TraesCS7B02G381300,0
AT1G03300,,
AT1G03310,TraesCS1D02G246300,0
AT1G03310,TraesCS1B02G257700,0
AT1G03310,TraesCS1A02G247100,0
AT1G03350,TraesCS2A02G140100,0
AT1G03350,TraesCS2D02G142900,0
AT1G03350,TraesCS3D02G190300,0
AT1G03350,TraesCS2B02G164200,0
AT1G03350,TraesCS3B02G215900,0
AT1G03350,TraesCS3A02G186400,0
AT1G03360,TraesCS6D02G127000,0
AT1G03360,TraesCS6A02G137900,0
AT1G03360,TraesCS7A02G187900,0
AT1G03360,TraesCS7B02G093000,0
AT1G03360,TraesCS7D02G188900,0
AT1G03410,TraesCS4D02G004500,0
AT1G03410,TraesCS2B02G066000,0
AT1G03410,TraesCS1B02G103700,0
AT1G03410,TraesCSU02G156500,0
AT1G03430,,
AT1G03475,TraesCS6A02G213400,0
AT1G03475,TraesCS6B02G243500,0
AT1G03475,TraesCS2A02G426900,0
AT1G03475,TraesCS6D02G196100,0
AT1G03475,TraesCS2B02G447300,0
AT1G03475,TraesCS7B02G234200,0
AT1G03475,TraesCS2D02G425000,0
AT1G03490,,
AT1G03590,TraesCS2B02G229000,0
AT1G03590,TraesCS2D02G214200,0
AT1G03590,TraesCS2A02G201900,0
AT1G03600,TraesCS4D02G172800,0
AT1G03600,TraesCS4B02G170800,0
AT1G03600,TraesCS4A02G134100,0
AT1G03680,TraesCS2B02G389500,0
AT1G03680,TraesCS7A02G563600,0
AT1G03680,TraesCS2D02G368700,0
AT1G03680,TraesCS7D02G547400,0
AT1G03680,TraesCS2A02G372500,0
AT1G03687,TraesCS7B02G245600,0
AT1G03687,TraesCS7A02G334000,0
AT1G03687,TraesCS7D02G341600,0
AT1G03800,TraesCS1A02G314300,0
AT1G03800,TraesCS1B02G326600,0
AT1G03800,TraesCS3B02G357500,0
AT1G03800,TraesCS3A02G328000,0
AT1G03800,TraesCS1D02G314800,0
AT1G03800,TraesCS3D02G321500,0
AT1G03810,TraesCS3D02G292300,1
AT1G03810,TraesCS3A02G292600,1
AT1G03810,TraesCS3B02G327400,1
AT1G03810,TraesCS4A02G494800,0
AT1G03810,TraesCS7D02G004300,0
AT1G03810,TraesCS7A02G003800,0
AT1G03950,TraesCS1D02G152000,0
AT1G03950,TraesCS1B02G171400,0
AT1G03950,TraesCS1A02G153600,0
AT1G03960,TraesCS1A02G153900,0
AT1G03960,TraesCS1B02G171200,0
AT1G03960,TraesCS1D02G152300,0
AT1G04010,TraesCS6B02G330300,0
AT1G04010,TraesCS6D02G280500,0
AT1G04010,TraesCS6A02G300600,0
AT1G04020,TraesCS2B02G401900,0
AT1G04020,TraesCS2D02G381600,0
AT1G04020,TraesCS2A02G384900,0
AT1G04070,TraesCS2B02G399400,0
AT1G04070,TraesCS7B02G179400,0
AT1G04070,TraesCS2B02G399500,0
AT1G04070,TraesCS7A02G282000,0
AT1G04070,TraesCS2D02G378600,0
AT1G04070,TraesCS2A02G382100,0
AT1G04070,TraesCS7D02G280500,0
AT1G04080,TraesCS6D02G037400,0
AT1G04080,TraesCS6B02G045800,0
AT1G04080,TraesCS6A02G032600,0
AT1G04190,TraesCS5A02G054500,0
AT1G04190,TraesCS5B02G061900,0
AT1G04190,TraesCS5D02G065800,0
AT1G04200,TraesCS3A02G322100,0
AT1G04200,TraesCS3B02G343100,0
AT1G04200,TraesCS3D02G309000,0
AT1G04200,TraesCS7A02G069000,0
AT1G04530,TraesCS4B02G342900,0
AT1G04530,TraesCS2D02G363900,0
AT1G04530,TraesCS5A02G512000,0
AT1G04530,TraesCS2A02G367000,0
AT1G04540,TraesCS6A02G386100,0
AT1G04540,TraesCS6D02G370700,0
AT1G04540,TraesCS6B02G425100,0
AT1G04590,TraesCS4D02G122300,0
AT1G04590,TraesCS4A02G191000,0
AT1G04590,TraesCS4B02G124400,0
AT1G04600,TraesCS1B02G183200,0
AT1G04600,TraesCS1D02G174000,0
AT1G04600,TraesCS5D02G558600,0
AT1G04600,TraesCS6A02G390800,0
AT1G04600,TraesCS6B02G431400,1
AT1G04600,TraesCS5B02G566200,0
AT1G04600,TraesCS1A02G166900,0
AT1G04600,TraesCS4A02G313500,0
AT1G04600,TraesCS6D02G377100,0
AT1G04630,TraesCS4D02G267100,0
AT1G04630,TraesCS4A02G038200,0
AT1G04630,TraesCS4B02G267500,0
AT1G04635,TraesCS2A02G270400,0
AT1G04635,TraesCS2B02G289200,0
AT1G04635,TraesCS2D02G269500,0
AT1G04750,TraesCS4D02G280300,0
AT1G04750,TraesCS4A02G021800,0
AT1G04750,TraesCS4B02G281700,0
AT1G04760,TraesCS4D02G280300,1
AT1G04760,TraesCS4A02G021800,1
AT1G04760,TraesCS4B02G281700,1
AT1G04800,,
AT1G04810,TraesCS1D02G351400,0
AT1G04810,TraesCS1A02G348400,0
AT1G04810,TraesCS2B02G450800,0
AT1G04810,TraesCS2A02G430100,0
AT1G04810,TraesCS2D02G427700,0
AT1G04810,TraesCS1B02G363000,0
AT1G04895,,
AT1G04900,TraesCS3A02G417700,0
AT1G04900,TraesCS3D02G413300,0
AT1G04900,TraesCS3B02G452900,0
AT1G04960,TraesCS5B02G259800,0
AT1G04960,TraesCS5D02G269000,0
AT1G04960,TraesCS5A02G261500,0
AT1G04970,TraesCS5B02G259600,0
AT1G04970,TraesCS5A02G261300,0
AT1G04970,TraesCS7B02G190500,0
AT1G04970,TraesCS5A02G261100,0
AT1G04970,TraesCS7A02G223700,0
AT1G04970,TraesCS5D02G268700,0
AT1G04970,TraesCS7D02G225400,0
AT1G05070,TraesCS5A02G412800,0
AT1G05070,TraesCS5A02G412400,0
AT1G05070,TraesCS5A02G412200,0
AT1G05070,TraesCS5A02G412700,1
AT1G05070,TraesCS5B02G416300,0
AT1G05070,TraesCS5D02G421400,0
AT1G05070,TraesCS5B02G416100,0
AT1G05070,TraesCS5B02G416000,1
AT1G05070,TraesCS5D02G421600,0
AT1G05080,,
AT1G05310,TraesCS4A02G338100,1
AT1G05310,TraesCS4A02G028000,0
AT1G05310,TraesCS4B02G277900,0
AT1G05310,TraesCS4D02G276200,0
AT1G05320,,
AT1G05385,TraesCS5B02G391300,0
AT1G05385,TraesCS5D02G396200,0
AT1G05385,TraesCS5A02G386400,0
AT1G05400,,
AT1G05580,TraesCS1D02G293500,0
AT1G05580,TraesCS1B02G307100,0
AT1G05580,TraesCS1A02G297700,0
AT1G05590,TraesCS2A02G185800,0
AT1G05590,TraesCS2D02G201900,0
AT1G05590,TraesCS4B02G243000,0
AT1G05590,TraesCS4D02G242600,0
AT1G05590,TraesCS4A02G065600,0
AT1G05590,TraesCS2B02G221500,0
AT1G05615,,
AT1G05620,TraesCS3B02G102800,0
AT1G05620,TraesCS3A02G087400,0
AT1G05620,TraesCS3D02G087500,0
AT1G05720,TraesCS3D02G394100,0
AT1G05720,TraesCS3B02G432900,0
AT1G05720,TraesCS3A02G399900,0
AT1G05730,TraesCS4B02G085600,0
AT1G05730,TraesCS4D02G083600,0
AT1G05730,TraesCS6B02G307600,0
AT1G05730,TraesCS4A02G230300,0
AT1G05770,,
AT1G05780,,
AT1G05783,,
AT1G05785,TraesCS6B02G244500,0
AT1G05785,TraesCS6D02G197200,0
AT1G05785,TraesCS6A02G214500,0
AT1G05850,TraesCS5A02G272400,0
AT1G05850,TraesCS5D02G280400,0
AT1G05850,TraesCS5B02G272600,0
AT1G05850,TraesCS7B02G140700,0
AT1G05850,TraesCS3A02G415700,0
AT1G05860,TraesCS1D02G131700,0
AT1G05860,TraesCS6A02G011100,0
AT1G05860,TraesCS1B02G149000,0
AT1G05860,TraesCSU02G084900,0
AT1G05860,TraesCS6D02G013800,0
AT1G05860,TraesCS1A02G134800,0
AT1G06000,,
AT1G06010,,
AT1G06050,TraesCS2A02G242800,0
AT1G06050,TraesCS7D02G299000,0
AT1G06050,TraesCS7B02G203900,0
AT1G06050,TraesCS7A02G303600,0
AT1G06060,TraesCS3A02G320800,0
AT1G06060,TraesCS3D02G310500,0
AT1G06060,TraesCS6D02G398000,0
AT1G06060,TraesCS3B02G345000,0
AT1G06110,TraesCS4D02G082100,0
AT1G06110,TraesCS4A02G231800,0
AT1G06110,TraesCS4B02G084200,0
AT1G06120,,
AT1G06137,,
AT1G06140,TraesCS4D02G103500,0
AT1G06140,TraesCS4A02G202500,0
AT1G06140,TraesCS4B02G106600,0
AT1G06200,TraesCS2A02G041900,0
AT1G06200,TraesCS2D02G040600,0
AT1G06200,TraesCS2B02G054400,0
AT1G06210,,
AT1G06440,TraesCS1D02G177100,0
AT1G06440,TraesCS1B02G201600,0
AT1G06440,TraesCS1A02G178600,0
AT1G06450,TraesCS3D02G126800,0
AT1G06550,TraesCS3B02G325800,0
AT1G06550,TraesCS3A02G291100,0
AT1G06550,TraesCS3D02G290900,0
AT1G06560,TraesCS7A02G375500,0
AT1G06560,TraesCS7D02G372000,0
AT1G06560,TraesCS7B02G277100,0
AT1G06590,TraesCS5A02G020800,0
AT1G06590,TraesCS5D02G025900,0
AT1G06590,TraesCS5B02G017800,0
AT1G06620,TraesCS4D02G004500,0
AT1G06620,TraesCS2B02G066000,0
AT1G06620,TraesCS1B02G103700,0
AT1G06620,TraesCSU02G156500,0
AT1G06820,TraesCS1A02G071700,0
AT1G06820,TraesCS1B02G090300,0
AT1G06820,TraesCS1D02G074300,0
AT1G06830,,
AT1G06900,TraesCS4B02G169500,0
AT1G06900,TraesCS4A02G135700,0
AT1G06900,TraesCS4D02G171500,0
AT1G06910,,
AT1G06920,,
AT1G06923,,
AT1G06925,,
AT1G06930,,
AT1G06950,TraesCS1A02G165800,0
AT1G06950,TraesCS1B02G182500,0
AT1G06950,TraesCS1D02G174900,0
AT1G06960,TraesCS4B02G188900,0
AT1G06960,TraesCS4D02G190200,0
AT1G06960,TraesCS4A02G115300,0
AT1G07000,TraesCS3A02G348200,0
AT1G07000,TraesCS1B02G307200,0
AT1G07000,TraesCS3B02G380100,0
AT1G07000,TraesCS1D02G293400,0
AT1G07000,TraesCS1A02G297800,0
AT1G07000,TraesCS3D02G341800,0
AT1G07010,TraesCS6B02G182800,0
AT1G07010,TraesCS6D02G144700,0
AT1G07010,TraesCS6A02G154800,0
AT1G07060,,
AT1G07070,TraesCS4A02G283800,0
AT1G07070,TraesCS6D02G326700,0
AT1G07070,TraesCS3B02G400700,0
AT1G07070,TraesCS7A02G155900,0
AT1G07070,TraesCS1A02G383500,0
AT1G07070,TraesCS1D02G391600,0
AT1G07070,TraesCS1B02G409800,0
AT1G07070,TraesCS7D02G156300,0
AT1G07070,TraesCS6B02G376800,0
AT1G07070,TraesCS2A02G301800,0
AT1G07070,TraesCS7B02G060000,0
AT1G07070,TraesCSU02G081000,0
AT1G07160,TraesCS4A02G110100,0
AT1G07160,TraesCS2A02G087100,0
AT1G07160,TraesCS2B02G101800,0
AT1G07160,TraesCS4B02G194000,0
AT1G07160,TraesCS2D02G084400,0
AT1G07160,TraesCS4D02G194900,0
AT1G07170,TraesCS7B02G282700,0
AT1G07170,TraesCS7D02G377100,0
AT1G07170,TraesCS2B02G520200,0
AT1G07170,TraesCS7A02G380700,1
AT1G07170,TraesCS2A02G492100,0
AT1G07170,TraesCS2D02G492300,0
AT1G07230,TraesCS5A02G489800,0
AT1G07230,TraesCS5D02G504100,0
AT1G07230,TraesCS4A02G369500,0
AT1G07230,TraesCS5B02G503200,0
AT1G07240,TraesCS2D02G212200,0
AT1G07240,TraesCS2A02G487400,0
AT1G07240,TraesCS4B02G396400,0
AT1G07240,TraesCS1B02G259700,0
AT1G07240,TraesCS1B02G360900,0
AT1G07240,TraesCS5A02G340500,0
AT1G07240,TraesCSU02G030000,0
AT1G07240,TraesCS1D02G339400,0
AT1G07240,TraesCS2B02G230800,0
AT1G07240,TraesCS2A02G203500,0
AT1G07240,TraesCS1D02G248500,0
AT1G07240,TraesCS5D02G344500,0
AT1G07240,TraesCS2D02G487500,0
AT1G07240,TraesCS1D02G349800,0
AT1G07240,TraesCS1A02G249000,0
AT1G07240,TraesCS7B02G046400,0
AT1G07240,TraesCS2B02G514400,0
AT1G07240,TraesCS1D02G339200,0
AT1G07240,TraesCS1B02G349900,0
AT1G07240,TraesCS7D02G145600,0
AT1G07240,TraesCS1A02G337400,0
AT1G07240,TraesCS7A02G144100,0
AT1G07360,TraesCS7D02G131000,0
AT1G07360,TraesCS7A02G131700,1
AT1G07360,TraesCS7B02G032400,0
AT1G07370,TraesCS2B02G382000,1
AT1G07370,TraesCS6D02G357600,0
AT1G07370,TraesCS3A02G256100,0
AT1G07370,TraesCS3B02G289300,0
AT1G07370,TraesCS4B02G365700,0
AT1G07370,TraesCS6B02G411100,1
AT1G07370,TraesCS6A02G373400,1
AT1G07370,TraesCS2A02G364000,1
AT1G07370,TraesCS4B02G366100,0
AT1G07370,TraesCS3B02G289200,0
AT1G07370,TraesCS2D02G361800,0
AT1G07380,TraesCS5A02G014200,0
AT1G07380,TraesCS3D02G227900,0
AT1G07380,TraesCS5D02G019600,0
AT1G07380,TraesCS3B02G255000,0
AT1G07380,TraesCS3A02G225500,0
AT1G07380,TraesCS5B02G012600,0
AT1G07390,TraesCS7A02G487900,0
AT1G07390,TraesCS7B02G391200,0
AT1G07390,TraesCS7D02G474600,0
AT1G07390,TraesCS7B02G316100,0
AT1G07390,TraesCS7A02G416100,0
AT1G07450,,
AT1G07460,,
AT1G07550,,
AT1G07560,,
AT1G07645,,
AT1G07660,TraesCS6D02G062900,0
AT1G07660,TraesCS2A02G416300,0
AT1G07660,TraesCS4B02G350700,0
AT1G07660,TraesCS2B02G492400,0
AT1G07745,TraesCS7B02G356900,0
AT1G07745,TraesCS7D02G444800,0
AT1G07745,TraesCS7A02G455900,0
AT1G07747,,
AT1G07780,TraesCS7A02G341700,0
AT1G07780,TraesCS7D02G337900,0
AT1G07780,TraesCS7B02G241200,0
AT1G07790,TraesCS1D02G373800,0
AT1G07790,TraesCS1B02G192500,0
AT1G07790,TraesCS7D02G477300,1
AT1G07790,TraesCSU02G077400,1
AT1G07790,TraesCS6B02G055500,1
AT1G07790,TraesCS6D02G040200,1
AT1G07790,TraesCS3A02G357400,0
AT1G07790,TraesCS2B02G329300,1
AT1G07790,TraesCS1B02G245300,0
AT1G07790,TraesCS1B02G294500,1
AT1G07790,TraesCS3B02G089900,1
AT1G07790,TraesCS3A02G357500,0
AT1G07790,TraesCS7B02G394600,1
AT1G07790,TraesCS3B02G390100,1
AT1G07790,TraesCS4A02G260400,1
AT1G07790,TraesCS1A02G190400,0
AT1G07790,TraesCS6A02G035000,1
AT1G07790,TraesCS1B02G386500,1
AT1G07790,TraesCS1A02G361600,1
AT1G07790,TraesCS1A02G368000,1
AT1G07790,TraesCSU02G171000,0
AT1G07790,TraesCS2D02G310800,1
AT1G07790,TraesCS3D02G075900,1
AT1G07790,TraesCS6A02G086400,1
AT1G07790,TraesCSU02G169900,0
AT1G07790,TraesCS6D02G046400,1
AT1G07790,TraesCS7B02G394900,1
AT1G07790,TraesCS1B02G378300,1
AT1G07790,TraesCS7B02G394100,0
AT1G07790,TraesCSU02G169700,0
AT1G07790,TraesCS4A02G030400,0
AT1G07790,TraesCS5A02G384300,0
AT1G07790,TraesCS6B02G084900,1
AT1G07790,TraesCS1B02G386600,1
AT1G07790,TraesCS7A02G490900,0
AT1G07790,TraesCSU02G169300,0
AT1G07790,TraesCS1A02G228700,0
AT1G07790,TraesCS1D02G396600,1
AT1G07790,TraesCS1B02G386200,1
AT1G07790,TraesCS3A02G357600,0
AT1G07790,TraesCS6A02G034500,1
AT1G07790,TraesCS5A02G051900,1
AT1G07790,TraesCSU02G170500,0
AT1G07790,TraesCSU02G169800,0
AT1G07790,TraesCS1D02G233300,0
AT1G07790,TraesCS5B02G389100,0
AT1G07790,TraesCS7D02G477400,1
AT1G07790,TraesCSU02G169400,0
AT1G07790,TraesCS6B02G049100,1
AT1G07790,TraesCS3B02G390300,1
AT1G07790,TraesCS6B02G048500,1
AT1G07790,TraesCS4B02G204400,0
AT1G07790,TraesCS4D02G054200,0
AT1G07790,TraesCS7A02G491100,1
AT1G07790,TraesCS1B02G416600,1
AT1G07790,TraesCS7B02G394700,1
AT1G07790,TraesCSU02G169500,0
AT1G07790,TraesCS6D02G046200,0
AT1G07790,TraesCSU02G170900,0
AT1G07790,TraesCS7A02G498700,1
AT1G07790,TraesCS4D02G205300,1
AT1G07790,TraesCS6A02G040200,0
AT1G07790,TraesCS3D02G351300,0
AT1G07790,TraesCS1A02G229100,0
AT1G07790,TraesCSU02G171100,0
AT1G07790,TraesCS3A02G075800,1
AT1G07790,TraesCS1D02G284300,0
AT1G07790,TraesCSU02G081100,1
AT1G07790,TraesCS5B02G058200,1
AT1G07790,TraesCS1D02G373900,0
AT1G07790,TraesCS6D02G046600,1
AT1G07790,TraesCS2A02G312400,1
AT1G07790,TraesCS6B02G049300,1
AT1G07790,TraesCS1D02G366300,1
AT1G07790,TraesCS4B02G054200,0
AT1G07790,TraesCS5D02G063200,1
AT1G07790,TraesCS5D02G020000,0
AT1G07790,TraesCS6B02G048800,1
AT1G07790,TraesCS4A02G030500,0
AT1G07790,TraesCS7B02G405800,1
AT1G07790,TraesCS7B02G394800,1
AT1G07790,TraesCS1D02G232900,0
AT1G07790,TraesCS1A02G367900,0
AT1G07790,TraesCS3D02G351500,1
AT1G07790,TraesCS5D02G393900,0
AT1G07790,TraesCS6D02G326800,1
AT1G07790,TraesCSU02G077200,1
AT1G07790,TraesCS3D02G342400,0
AT1G07790,TraesCS6A02G040500,1
AT1G07790,TraesCS3A02G088800,0
AT1G07790,TraesCS7B02G394400,1
AT1G07790,TraesCS6D02G040600,1
AT1G07790,TraesCS6D02G046500,0
AT1G07790,TraesCS1D02G194600,1
AT1G07790,TraesCS4A02G099900,1
AT1G07790,TraesCS7B02G394500,0
AT1G07790,TraesCS3B02G114400,1
AT1G07790,TraesCS6A02G040400,1
AT1G07790,TraesCS3B02G114600,1
AT1G07790,TraesCS6B02G055300,1
AT1G07790,TraesCSU02G170400,0
AT1G07790,TraesCS3B02G390000,1
AT1G07790,TraesCS7A02G491000,0
AT1G07790,TraesCS3D02G099000,1
AT1G07790,TraesCS1A02G285300,1
AT1G07790,TraesCS7D02G485700,0
AT1G07790,TraesCS1B02G357600,1
AT1G07790,TraesCS5B02G065100,1
AT1G07790,TraesCSU02G170600,0
AT1G07790,TraesCS5B02G064900,1
AT1G07790,TraesCS3B02G390200,1
AT1G07790,TraesCS6B02G116000,1
AT1G07790,TraesCS1B02G386400,0
AT1G07790,TraesCS1B02G244900,0
AT1G07790,TraesCS1B02G387100,1
AT1G07790,TraesCS6B02G082600,1
AT1G07790,TraesCS6B02G376900,1
AT1G07790,TraesCS3D02G351400,1
AT1G07790,TraesCS3A02G102500,1
AT1G07790,TraesCS1A02G388600,1
AT1G07790,TraesCS1B02G386700,1
AT1G07790,TraesCS4B02G275400,0
AT1G07790,TraesCS6B02G115800,1
AT1G07790,TraesCSU02G170700,0
AT1G07790,TraesCS3D02G088900,0
AT1G07790,TraesCS6A02G086200,0
AT1G07885,,
AT1G07890,,
AT1G08000,,
AT1G08005,,
AT1G08270,,
AT1G08280,TraesCS5A02G128700,0
AT1G08280,TraesCS5D02G136400,0
AT1G08280,TraesCS3B02G403800,0
AT1G08280,TraesCS2B02G379700,0
AT1G08280,TraesCS3A02G371500,0
AT1G08280,TraesCS5B02G127500,0
AT1G08280,TraesCS3D02G364600,0
AT1G08380,,
AT1G08390,TraesCS4A02G286300,0
AT1G08390,TraesCS4B02G027700,0
AT1G08390,TraesCS4A02G286100,0
AT1G08390,TraesCS1B02G054600,0
