Requested ID,Matched ID(s),Releases,Condition
Traes_3AS_BF0DE4B3D,TraesCS3A02G166600,109: TraesCS3A02G166600.193: TraesCS3A02G166600.1,T1down
Traes_3AS_BF0DE4B3D,TraesCS3D02G175100,109: TraesCS3D02G175100.193: TraesCS3D02G175100.1,T1down
Traes_3AS_BF0DE4B3D,TraesCS3B02G199500,109: TraesCS3B02G199500.193: TraesCS3B02G199500.1,T1down
Traes_7BS_E71B1A305,TraesCS7B02G137900,109: TraesCS7B02G137900.193: TraesCS7B02G137900.1,T1down
Traes_7BS_E71B1A305,TraesCS7A02G348700,109: TraesCS7A02G348700.193: TraesCS7A02G348700.1,T1down
Traes_7BS_E71B1A305,TraesCS7D02G329900,109: TraesCS7D02G329900.193: TraesCS7D02G329900.1,T1down
Traes_2DS_DFCAF1EA5,TraesCS2D02G185200,109: TraesCS2D02G185200.193: TraesCS2D02G185200.1,T1down
Traes_2DS_DFCAF1EA5,TraesCS2A02G177100,109: TraesCS2A02G177100.193: TraesCS2A02G177100.1,T1down
Traes_2DS_DFCAF1EA5,TraesCS2B02G204100,109: TraesCS2B02G204100.193: TraesCS2B02G204100.1,T1down
Traes_3AS_C8F31428A,TraesCS3A02G143200,109: TraesCS3A02G143200.193: TraesCS3A02G143200.1,T1down
Traes_3AS_C8F31428A,TraesCS3D02G144300,109: TraesCS3D02G144300.193: TraesCS3D02G144300.1,T1down
Traes_3AS_C8F31428A,TraesCS3B02G161900,109: TraesCS3B02G161900.193: TraesCS3B02G161900.1,T1down
Traes_3AS_C8F31428A,TraesCS3A02G143300,109: TraesCS3A02G143300.193: TraesCS3A02G143300.1,T1down
Traes_3AS_C8F31428A,TraesCS3B02G161800,109: TraesCS3B02G161800.193: TraesCS3B02G161800.1,T1down
Traes_3AS_C8F31428A,TraesCS3D02G144400,109: TraesCS3D02G144400.193: TraesCS3D02G144400.1,T1down
Traes_2DS_EDC051BE3,TraesCS2B02G152100,109: TraesCS2B02G152100.193: TraesCS2B02G152100.1,T1down
Traes_2DS_EDC051BE3,TraesCS2A02G129900,109: TraesCS2A02G129900.193: TraesCS2A02G129900.1,T1down
Traes_2DS_EDC051BE3,TraesCS2D02G132100,109: TraesCS2D02G132100.193: TraesCS2D02G132100.1,T1down
Traes_6AL_911E27D96,TraesCS6B02G387000,109: TraesCS6B02G387000.193: TraesCS6B02G387000.1,T1down
Traes_6AL_911E27D96,TraesCS6A02G354100,109: TraesCS6A02G354100.193: TraesCS6A02G354100.1,T1down
Traes_6AL_911E27D96,TraesCS6D02G336400,109: TraesCS6D02G336400.193: TraesCS6D02G336400.1,T1down
Traes_2AS_755EE8FA3,TraesCS2B02G121200,109: TraesCS2B02G121200.193: TraesCS2B02G121200.1,T1down
Traes_2AS_755EE8FA3,TraesCS2D02G103900,109: TraesCS2D02G103900.193: TraesCS2D02G103900.1,T1down
Traes_2AS_755EE8FA3,TraesCS2A02G104200,109: TraesCS2A02G104200.193: TraesCS2A02G104200.1,T1down
Traes_5BL_68CEFB937,TraesCS4A02G340500,109: TraesCS4A02G340500.193: TraesCS4A02G340500.1,T1down
Traes_5BL_68CEFB937,TraesCS5B02G534600,109: TraesCS5B02G534600.193: TraesCS5B02G534600.1,T1down
Traes_5BL_68CEFB937,TraesCS5D02G532700,109: TraesCS5D02G532700.193: TraesCS5D02G532700.1,T1down
Traes_5BL_68CEFB937,TraesCSU02G076700,109: TraesCSU02G076700.193: TraesCSU02G076700.1,T1down
Traes_2BS_17EF3E7AE,TraesCS2A02G229200,109: TraesCS2A02G229200.193: TraesCS2A02G229200.1,T1down
Traes_2BS_17EF3E7AE,TraesCS2B02G250600,109: TraesCS2B02G250600.193: TraesCS2B02G250600.1,T1down
Traes_2BS_17EF3E7AE,TraesCS2D02G233200,109: TraesCS2D02G233200.193: TraesCS2D02G233200.1,T1down
Traes_6AS_AFF47E71C,TraesCS6B02G209700,109: TraesCS6B02G209700.193: TraesCS6B02G209700.1,T1down
Traes_6AS_AFF47E71C,TraesCS6A02G175700,109: TraesCS6A02G175700.193: TraesCS6A02G175700.1,T1down
Traes_6AS_AFF47E71C,TraesCS6D02G167900,109: TraesCS6D02G167900.193: TraesCS6D02G167900.1,T1down
Traes_4BS_9DEB3D94E,TraesCS4A02G207000,109: TraesCS4A02G207000.193: TraesCS4A02G207000.1,T1down
Traes_4BS_9DEB3D94E,TraesCS4D02G108300,109: TraesCS4D02G108300.193: TraesCS4D02G108300.1,T1down
Traes_4BS_9DEB3D94E,TraesCS4B02G110600,109: TraesCS4B02G110600.193: TraesCS4B02G110600.1,T1down
Traes_6AS_57E2B2AA2,TraesCS6B02G192200,109: TraesCS6B02G192200.193: TraesCS6B02G192200.1,T1down
Traes_6AS_57E2B2AA2,TraesCS6D02G153400,109: TraesCS6D02G153400.193: TraesCS6D02G153400.1,T1down
Traes_6AS_57E2B2AA2,TraesCS6A02G159100,109: TraesCS6A02G159100.193: TraesCS6A02G159100.1,T1down
Traes_3DS_5654A99BD,TraesCS3D02G081400,109: TraesCS3D02G081400.193: TraesCS3D02G081400.1,T1down
Traes_3DS_5654A99BD,TraesCS3B02G096400,109: TraesCS3B02G096400.193: TraesCS3B02G096400.1,T1down
Traes_3DS_5654A99BD,TraesCS3A02G081400,109: TraesCS3A02G081400.193: TraesCS3A02G081400.1,T1down
Traes_6DL_93B0729F2,TraesCS6A02G400400,109: TraesCS6A02G400400.193: TraesCS6A02G400400.1,T1down
Traes_6DL_93B0729F2,TraesCS6B02G440700,109: TraesCS6B02G440700.193: TraesCS6B02G440700.1,T1down
Traes_6DL_93B0729F2,TraesCS6D02G384600,109: TraesCS6D02G384600.193: TraesCS6D02G384600.1,T1down
Traes_2BS_03B72D2B2,TraesCS2D02G098000,109: TraesCS2D02G098000.193: TraesCS2D02G098000.1,T1down
Traes_2BS_03B72D2B2,TraesCS2B02G114700,109: TraesCS2B02G114700.193: TraesCS2B02G114700.1,T1down
Traes_2BS_03B72D2B2,TraesCS2A02G098500,109: TraesCS2A02G098500.193: TraesCS2A02G098500.1,T1down
Traes_3AL_EBA9832F21,TraesCS3D02G381300,109: TraesCS3D02G381300.193: TraesCS3D02G381300.1,T1down
Traes_3AL_EBA9832F21,TraesCS3A02G388200,109: TraesCS3A02G388200.193: TraesCS3A02G388200.1,T1down
Traes_3AL_EBA9832F21,TraesCS3B02G420500,109: TraesCS3B02G420500.193: TraesCS3B02G420500.1,T1down
Traes_7BL_64D664EE2,TraesCS7A02G473200,109: TraesCS7A02G473200.193: TraesCS7A02G473200.1,T1down
Traes_7BL_64D664EE2,TraesCS7D02G460200,109: TraesCS7D02G460200.193: TraesCS7D02G460200.1,T1down
Traes_7BL_64D664EE2,TraesCS7B02G374500,109: TraesCS7B02G374500.193: TraesCS7B02G374500.1,T1down
Traes_3AL_45EF63187,TraesCS3B02G455000,109: TraesCS3B02G455000.193: TraesCS3B02G455000.1,T1down
Traes_3AL_45EF63187,TraesCS3D02G415200,109: TraesCS3D02G415200.193: TraesCS3D02G415200.1,T1down
Traes_3AL_45EF63187,TraesCS3A02G419600,109: TraesCS3A02G419600.193: TraesCS3A02G419600.1,T1down
Traes_3DL_1174C3707,TraesCS3B02G267800,109: TraesCS3B02G267800.193: TraesCS3B02G267800.1,T1down
Traes_3DL_1174C3707,TraesCS3A02G239300,109: TraesCS3A02G239300.193: TraesCS3A02G239300.1,T1down
Traes_3DL_1174C3707,TraesCS3D02G239500,109: TraesCS3D02G239500.193: TraesCS3D02G239500.1,T1down
Traes_1DL_B2CA253F1,TraesCS1A02G229000,109: TraesCS1A02G229000.193: TraesCS1A02G229000.1,T1down
Traes_6BL_EFB7FE3FA,TraesCS6D02G341100,109: TraesCS6D02G341100.193: TraesCS6D02G341100.1,T1down
Traes_6BL_EFB7FE3FA,TraesCS6B02G391000,109: TraesCS6B02G391000.193: TraesCS6B02G391000.1,T1down
Traes_6DS_26310F0F6,TraesCS6D02G040400,109: TraesCS6D02G040400.193: TraesCS6D02G040400.1,T1down
Traes_6DS_26310F0F6,TraesCS6A02G035100,109: TraesCS6A02G035100.193: TraesCS6A02G035100.1,T1down
Traes_5DS_4501B11E2,TraesCS5A02G120900,109: TraesCS5A02G120900.193: TraesCS5A02G120900.1,T1down
Traes_5DS_4501B11E2,TraesCS5D02G118900,109: TraesCS5D02G118900.193: TraesCS5D02G118900.1,T1down
Traes_4DL_E8582A179,TraesCS4D02G174500,109: TraesCS4D02G174500.193: TraesCS4D02G174500.1,T1down
Traes_4DL_E8582A179,TraesCS4B02G172500,109: TraesCS4B02G172500.193: TraesCS4B02G172500.1,T1down
Traes_4DL_E8582A179,TraesCS4A02G132200,109: TraesCS4A02G132200.193: TraesCS4A02G132200.1,T1down
Traes_1DL_B38045FC5,TraesCS1D02G160200,109: TraesCS1D02G160200.193: TraesCS1D02G160200.1,T1down
Traes_3AS_DEC4FD0C3,TraesCS3B02G165800,109: TraesCS3B02G165800.193: TraesCS3B02G165800.1,T1down
Traes_3AS_DEC4FD0C3,TraesCS3D02G150000,109: TraesCS3D02G150000.193: TraesCS3D02G150000.1,T1down
Traes_3AS_DEC4FD0C3,TraesCS3A02G133700,109: TraesCS3A02G133700.193: TraesCS3A02G133700.1,T1down
Traes_4AL_890B9918A,TraesCS7A02G101500,109: TraesCS7A02G101500.193: TraesCS7A02G101500.1,T1down
Traes_7DL_40F8B159E1,TraesCS7A02G491100,109: TraesCS7A02G491100.193: TraesCS7A02G491100.1,T1down
Traes_7DL_40F8B159E1,TraesCS7B02G394900,109: TraesCS7B02G394900.193: TraesCS7B02G394900.1,T1down
Traes_7DL_40F8B159E1,TraesCS7B02G394800,109: TraesCS7B02G394800.193: TraesCS7B02G394800.1,T1down
Traes_7DL_40F8B159E1,TraesCS7D02G477300,109: TraesCS7D02G477300.193: TraesCS7D02G477300.1,T1down
Traes_1BS_296641DAB,TraesCS1D02G114700,109: TraesCS1D02G114700.193: TraesCS1D02G114700.1,T1down
Traes_1BS_296641DAB,TraesCS1A02G113300,109: TraesCS1A02G113300.193: TraesCS1A02G113300.1,T1down
Traes_1BS_296641DAB,TraesCS1B02G133400,109: TraesCS1B02G133400.193: TraesCS1B02G133400.1,T1down
Traes_4BS_4EB2C19CF,TraesCS4A02G170900,109: TraesCS4A02G170900.193: TraesCS4A02G170900.1,T1down
Traes_4BS_4EB2C19CF,TraesCS4D02G143900,109: TraesCS4D02G143900.193: TraesCS4D02G143900.1,T1down
Traes_4BS_4EB2C19CF,TraesCS4B02G127100,109: TraesCS4B02G127100.193: TraesCS4B02G127100.1,T1down
Traes_2DL_AB6FEEC91,TraesCS2D02G395200,109: TraesCS2D02G395200.193: TraesCS2D02G395200.1,T1down
Traes_2DL_AB6FEEC91,TraesCS2A02G397700,109: TraesCS2A02G397700.193: TraesCS2A02G397700.1,T1down
Traes_2DL_AB6FEEC91,TraesCS2B02G415900,109: TraesCS2B02G415900.193: TraesCS2B02G415900.1,T1down
Traes_4BL_C3C6C11C4,TraesCS4A02G125000,109: TraesCS4A02G125000.193: TraesCS4A02G125000.1,T1down
Traes_4BL_C3C6C11C4,TraesCS4B02G179400,109: TraesCS4B02G179400.193: TraesCS4B02G179400.1,T1down
Traes_4BL_C3C6C11C4,TraesCS4D02G181000,109: TraesCS4D02G181000.193: TraesCS4D02G181000.1,T1down
Traes_2AS_915BF7045,TraesCS2B02G259400,109: TraesCS2B02G259400.193: TraesCS2B02G259400.1,T1down
Traes_2AS_915BF7045,TraesCS2D02G238900,109: TraesCS2D02G238900.193: TraesCS2D02G238900.1,T1down
Traes_2AS_915BF7045,TraesCS2A02G237400,109: TraesCS2A02G237400.193: TraesCS2A02G237400.1,T1down
Traes_3AL_DAE1A2E0F,TraesCS3A02G348600,109: TraesCS3A02G348600.193: TraesCS3A02G348600.1,T1down
Traes_3AL_DAE1A2E0F,TraesCS3D02G342200,109: TraesCS3D02G342200.193: TraesCS3D02G342200.1,T1down
Traes_3AL_DAE1A2E0F,TraesCS3B02G380500,109: TraesCS3B02G380500.193: TraesCS3B02G380500.1,T1down
Traes_6AS_84C92EC67,TraesCS6B02G079900,109: TraesCS6B02G079900.193: TraesCS6B02G079900.1,T1down
Traes_6AS_84C92EC67,TraesCSU02G121900,109: TraesCSU02G121900.193: TraesCSU02G121900.1,T1down
Traes_6AS_84C92EC67,TraesCS6A02G059500,109: TraesCS6A02G059500.193: TraesCS6A02G059500.1,T1down
Traes_1DL_3132E9CF6,TraesCS1B02G472200,109: TraesCS1B02G472200.193: TraesCS1B02G472200.1,T1down
Traes_1DL_3132E9CF6,TraesCS1A02G437600,109: TraesCS1A02G437600.193: TraesCS1A02G437600.1,T1down
Traes_7DL_281C74D0E,TraesCS7A02G301500,109: TraesCS7A02G301500.193: TraesCS7A02G301500.1,T1down
Traes_7DL_281C74D0E,TraesCS7B02G201800,109: TraesCS7B02G201800.193: TraesCS7B02G201800.1,T1down
Traes_7DL_281C74D0E,TraesCS7D02G296900,109: TraesCS7D02G296900.193: TraesCS7D02G296900.1,T1down
Traes_7BL_26A2CE596,TraesCS7B02G330900,109: TraesCS7B02G330900.193: TraesCS7B02G330900.1,T1down
Traes_7BL_26A2CE596,TraesCS7A02G430600,109: TraesCS7A02G430600.193: TraesCS7A02G430600.1,T1down
Traes_7BL_26A2CE596,TraesCS7D02G423100,109: TraesCS7D02G423100.193: TraesCS7D02G423100.1,T1down
Traes_7BL_26A2CE596,TraesCS7D02G422600,109: TraesCS7D02G422600.193: TraesCS7D02G422600.1,T1down
Traes_5AS_0C1BD0C9F,TraesCS5D02G091100,109: TraesCS5D02G091100.193: TraesCS5D02G091100.1,T1down
Traes_5AS_0C1BD0C9F,TraesCS5B02G084900,109: TraesCS5B02G084900.193: TraesCS5B02G084900.1,T1down
Traes_5AS_0C1BD0C9F,TraesCS5A02G081500,109: TraesCS5A02G081500.193: TraesCS5A02G081500.1,T1down
Traes_6AS_7D8996E76,TraesCS6A02G169700,109: TraesCS6A02G169700.193: TraesCS6A02G169700.1,T1down
Traes_6AS_7D8996E76,TraesCS6B02G198000,109: TraesCS6B02G198000.193: TraesCS6B02G198000.1,T1down
Traes_6DL_77B01B237,TraesCS6D02G295600,109: TraesCS6D02G295600.193: TraesCS6D02G295600.1,T1down
Traes_6DL_77B01B237,TraesCS6A02G316300,109: TraesCS6A02G316300.193: TraesCS6A02G316300.1,T1down
Traes_6DL_77B01B237,TraesCS6B02G346800,109: TraesCS6B02G346800.193: TraesCS6B02G346800.1,T1down
Traes_4DS_FC614A740,TraesCS4D02G070100,109: TraesCS4D02G070100.193: TraesCS4D02G070100.1,T1down
Traes_4BS_C5754B642,TraesCS4B02G076000,109: TraesCS4B02G076000.193: TraesCS4B02G076000.1,T1down
Traes_4BS_C5754B642,TraesCS4A02G239000,109: TraesCS4A02G239000.193: TraesCS4A02G239000.1,T1down
Traes_4BS_C5754B642,TraesCS4D02G074600,109: TraesCS4D02G074600.193: TraesCS4D02G074600.1,T1down
Traes_7BS_A2563E09D,TraesCS7A02G272500,109: TraesCS7A02G272500.193: TraesCS7A02G272500.1,T1down
Traes_7BS_A2563E09D,TraesCS7D02G272700,109: TraesCS7D02G272700.193: TraesCS7D02G272700.1,T1down
Traes_7DS_AD88E0A2F,TraesCS7B02G065500,109: TraesCS7B02G065500.193: TraesCS7B02G065500.1,T1down
Traes_7DS_AD88E0A2F,TraesCS7A02G160600,109: TraesCS7A02G160600.193: TraesCS7A02G160600.1,T1down
Traes_7DS_AD88E0A2F,TraesCS7D02G161500,109: TraesCS7D02G161500.193: TraesCS7D02G161500.1,T1down
Traes_2DS_590FE1710,TraesCS2A02G231900,109: TraesCS2A02G231900.193: TraesCS2A02G231900.1,T1down
Traes_2DS_590FE1710,TraesCS2D02G236800,109: TraesCS2D02G236800.193: TraesCS2D02G236800.1,T1down
Traes_2DS_590FE1710,TraesCS2B02G253500,109: TraesCS2B02G253500.193: TraesCS2B02G253500.1,T1down
Traes_6BS_E263CD619,TraesCS6A02G167200,109: TraesCS6A02G167200.193: TraesCS6A02G167200.1,T1down
Traes_6BS_E263CD619,TraesCS6B02G194600,109: TraesCS6B02G194600.193: TraesCS6B02G194600.1,T1down
Traes_6BS_E263CD619,TraesCS6D02G155700,109: TraesCS6D02G155700.193: TraesCS6D02G155700.1,T1down
Traes_3AL_D207C9374,TraesCS3D02G290900,109: TraesCS3D02G290900.193: TraesCS3D02G290900.1,T1down
Traes_3AL_D207C9374,TraesCS3B02G325800,109: TraesCS3B02G325800.193: TraesCS3B02G325800.1,T1down
Traes_3AL_D207C9374,TraesCS3A02G291100,109: TraesCS3A02G291100.193: TraesCS3A02G291100.1,T1down
Traes_4AL_CA2EC7BFF1,TraesCS7D02G042200,109: TraesCS7D02G042200.193: TraesCS7D02G042200.1,T1down
Traes_6AL_B13BFCFF8,TraesCS6D02G182400,109: TraesCS6D02G182400.193: TraesCS6D02G182400.1,T1down
Traes_6AL_B13BFCFF8,TraesCS6B02G220900,109: TraesCS6B02G220900.193: TraesCS6B02G220900.1,T1down
Traes_6AL_B13BFCFF8,TraesCSU02G080300,109: TraesCSU02G080300.193: TraesCSU02G080300.1,T1down
Traes_5DL_17E38786F,TraesCS5B02G324800,109: TraesCS5B02G324800.193: TraesCS5B02G324800.1,T1down
Traes_5DL_17E38786F,TraesCS5D02G331100,109: TraesCS5D02G331100.193: TraesCS5D02G331100.1,T1down
Traes_5DL_17E38786F,TraesCS5A02G324200,109: TraesCS5A02G324200.193: TraesCS5A02G324200.1,T1down
Traes_4DL_D0B60B7B5,TraesCS4D02G278700,109: TraesCS4D02G278700.193: TraesCS4D02G278700.1,T1down
Traes_4DL_D0B60B7B5,TraesCS4A02G023300,109: TraesCS4A02G023300.193: TraesCS4A02G023300.1,T1down
Traes_4DL_D0B60B7B5,TraesCS4B02G280200,109: TraesCS4B02G280200.193: TraesCS4B02G280200.1,T1down
Traes_6BL_4704FF2B4,TraesCS6D02G384200,109: TraesCS6D02G384200.193: TraesCS6D02G384200.1,T1down
Traes_6BL_4704FF2B4,TraesCS6B02G440200,109: TraesCS6B02G440200.193: TraesCS6B02G440200.1,T1down
Traes_6BL_4704FF2B4,TraesCS6A02G400000,109: TraesCS6A02G400000.193: TraesCS6A02G400000.1,T1down
Traes_6DS_43372C0A6,TraesCS6A02G196500,109: TraesCS6A02G196500.193: TraesCS6A02G196500.1,T1down
Traes_6DS_43372C0A6,TraesCS6B02G229700,109: TraesCS6B02G229700.193: TraesCS6B02G229700.1,T1down
Traes_6DS_43372C0A6,TraesCS6D02G179200,109: TraesCS6D02G179200.193: TraesCS6D02G179200.1,T1down
Traes_6BS_736D95F6C,TraesCS6B02G048800,109: TraesCS6B02G048800.193: TraesCS6B02G048800.1,T1down
Traes_1AL_D2049E4A2,TraesCS1B02G172400,109: TraesCS1B02G172400.193: TraesCS1B02G172400.1,T1down
Traes_1AL_D2049E4A2,TraesCS1A02G155200,109: TraesCS1A02G155200.193: TraesCS1A02G155200.1,T1down
Traes_1AL_D2049E4A2,TraesCS1D02G153900,109: TraesCS1D02G153900.193: TraesCS1D02G153900.1,T1down
Traes_3AS_A06BE8350,TraesCSU02G049100,109: TraesCSU02G049100.193: TraesCSU02G049100.1,T1down
Traes_3AS_A06BE8350,TraesCS3D02G074700,109: TraesCS3D02G074700.193: TraesCS3D02G074700.1,T1down
Traes_3AS_A06BE8350,TraesCS3A02G074900,109: TraesCS3A02G074900.193: TraesCS3A02G074900.1,T1down
Traes_5DS_871545FA1,TraesCS5B02G086600,109: TraesCS5B02G086600.193: TraesCS5B02G086600.1,T1down
Traes_5DS_871545FA1,TraesCS5A02G079400,109: TraesCS5A02G079400.193: TraesCS5A02G079400.1,T1down
Traes_5DS_871545FA1,TraesCS5D02G092800,109: TraesCS5D02G092800.193: TraesCS5D02G092800.1,T1down
Traes_3DS_B53C65B87,TraesCS3D02G075900,109: TraesCS3D02G075900.193: TraesCS3D02G075900.1,T1down
Traes_3DS_B53C65B87,TraesCS3A02G075800,109: TraesCS3A02G075800.193: TraesCS3A02G075800.1,T1down
Traes_3DS_B53C65B87,TraesCS3B02G089900,109: TraesCS3B02G089900.193: TraesCS3B02G089900.1,T1down
Traes_1AL_0C24CBB55,TraesCS1B02G338500,109: TraesCS1B02G338500.193: TraesCS1B02G338500.1,T1down
Traes_1AL_0C24CBB55,TraesCS1A02G325400,109: TraesCS1A02G325400.193: TraesCS1A02G325400.1,T1down
Traes_1AL_0C24CBB55,TraesCS1D02G327000,109: TraesCS1D02G327000.193: TraesCS1D02G327000.1,T1down
Traes_2AL_EA83C48EF,TraesCS2A02G414300,109: TraesCS2A02G414300.193: TraesCS2A02G414300.1,T1down
Traes_2AL_EA83C48EF,TraesCS2D02G411600,109: TraesCS2D02G411600.193: TraesCS2D02G411600.1,T1down
Traes_2AL_EA83C48EF,TraesCS2B02G433400,109: TraesCS2B02G433400.193: TraesCS2B02G433400.1,T1down
Traes_5DS_98583EE65,TraesCS5D02G115000,109: TraesCS5D02G115000.193: TraesCS5D02G115000.1,T1down
Traes_5DS_98583EE65,TraesCS5A02G103100,109: TraesCS5A02G103100.193: TraesCS5A02G103100.1,T1down
Traes_5DS_98583EE65,TraesCS5B02G107400,109: TraesCS5B02G107400.193: TraesCS5B02G107400.1,T1down
Traes_7DL_52DA2E2DF,TraesCS7D02G325700,109: TraesCS7D02G325700.193: TraesCS7D02G325700.1,T1down
Traes_7DL_52DA2E2DF,TraesCS7A02G328800,109: TraesCS7A02G328800.193: TraesCS7A02G328800.1,T1down
Traes_7DL_52DA2E2DF,TraesCS7B02G229500,109: TraesCS7B02G229500.193: TraesCS7B02G229500.1,T1down
Traes_5DL_787E264C9,TraesCS5D02G525800,109: TraesCS5D02G525800.193: TraesCS5D02G525800.1,T1down
Traes_5DL_787E264C9,TraesCS4A02G346700,109: TraesCS4A02G346700.193: TraesCS4A02G346700.1,T1down
Traes_5DL_787E264C9,TraesCS5B02G526400,109: TraesCS5B02G526400.193: TraesCS5B02G526400.1,T1down
Traes_4BS_6EAD366CD,TraesCS5A02G279700,109: TraesCS5A02G279700.193: TraesCS5A02G279700.1,T1down
Traes_4BS_6EAD366CD,TraesCS4A02G144500,109: TraesCS4A02G144500.193: TraesCS4A02G144500.1,T1down
Traes_4BS_6EAD366CD,TraesCS4B02G157100,109: TraesCS4B02G157100.193: TraesCS4B02G157100.1,T1down
Traes_4BS_6EAD366CD,TraesCS4D02G164500,109: TraesCS4D02G164500.193: TraesCS4D02G164500.1,T1down
Traes_7AL_076CFDA60,TraesCS7B02G336600,109: TraesCS7B02G336600.193: TraesCS7B02G336600.1,T1down
Traes_7AL_076CFDA60,TraesCS7D02G427500,109: TraesCS7D02G427500.193: TraesCS7D02G427500.1,T1down
Traes_7AL_076CFDA60,TraesCS7A02G437700,109: TraesCS7A02G437700.193: TraesCS7A02G437700.1,T1down
Traes_5DL_DD8FA0F7A,TraesCS5B02G187200,109: TraesCS5B02G187200.193: TraesCS5B02G187200.1,T1down
Traes_5DL_DD8FA0F7A,TraesCS5D02G194700,109: TraesCS5D02G194700.193: TraesCS5D02G194700.1,T1down
