Gene stable ID,GO term name,GO term definition,GO term accession,GO term evidence code,GO domain
TraesCS1A02G206500,,,,,
TraesCS1A02G211600,rRNA processing,Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules.,GO:0006364,IEA,biological_process
TraesCS1A02G211600,nucleobase-containing compound metabolic process,"Any cellular metabolic process involving nucleobases, nucleosides, nucleotides and nucleic acids.",GO:0006139,IEA,biological_process
TraesCS1A02G211700,,,,,
TraesCS1A02G219800,pyridoxal phosphate binding,"Binding to pyridoxal 5' phosphate, 3-hydroxy-5-(hydroxymethyl)-2-methyl4-pyridine carboxaldehyde 5' phosphate, the biologically active form of vitamin B6.",GO:0030170,IEA,molecular_function
TraesCS1A02G219800,catalytic activity,"Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.",GO:0003824,IEA,molecular_function
TraesCS1A02G219800,biosynthetic process,The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones.,GO:0009058,IEA,biological_process
TraesCS1A02G219900,cytoplasm,"The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.",GO:0005737,IEA,cellular_component
TraesCS1A02G219900,ATP binding,"Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator.",GO:0005524,IEA,molecular_function
TraesCS1A02G219900,nucleotide binding,"Binding to a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.",GO:0000166,IEA,molecular_function
TraesCS1A02G219900,aminoacyl-tRNA editing activity,The hydrolysis of an incorrectly aminoacylated tRNA.,GO:0002161,IEA,molecular_function
TraesCS1A02G219900,tRNA aminoacylation for protein translation,"The synthesis of aminoacyl tRNA by the formation of an ester bond between the 3'-hydroxyl group of the most 3' adenosine of the tRNA and the alpha carboxylic acid  group of an amino acid, to be used in ribosome-mediated polypeptide synthesis.",GO:0006418,IEA,biological_process
TraesCS1A02G219900,leucine-tRNA ligase activity,Catalysis of the reaction: L-leucine + ATP + tRNA(Leu) = AMP + diphosphate + 2 H(+) + Leu-tRNA(Leu).,GO:0004823,IEA,molecular_function
TraesCS1A02G219900,leucyl-tRNA aminoacylation,"The process of coupling leucine to leucyl-tRNA, catalyzed by leucyl-tRNA synthetase. The leucyl-tRNA synthetase is a  class-I synthetase. The activated amino acid is transferred to the 2'-OH group of a leucine-accetping tRNA. The 2'-O-aminoacyl-tRNA will ultimately migrate to the 3' position via transesterification.",GO:0006429,IEA,biological_process
TraesCS1A02G219900,aminoacyl-tRNA ligase activity,"Catalysis of the formation of aminoacyl-tRNA from ATP, amino acid, and tRNA with the release of diphosphate and AMP.",GO:0004812,IEA,molecular_function
TraesCS1A02G229900,nucleic acid binding,Binding to a nucleic acid.,GO:0003676,IEA,molecular_function
TraesCS1A02G229900,RNA binding,Binding to an RNA molecule or a portion thereof.,GO:0003723,IEA,molecular_function
TraesCS1A02G230000,integral component of membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,GO:0016021,IEA,cellular_component
TraesCS1A02G236400,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,"The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, with ubiquitin-protein ligation catalyzed by an SCF (Skp1/Cul1/F-box protein) complex, and mediated by the proteasome.",GO:0031146,IEA,biological_process
TraesCS1A02G236400,protein binding,Binding to a protein.,GO:0005515,IEA,molecular_function
TraesCS1A02G236500,hydrolase activity,"Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc. Hydrolase is the systematic name for any enzyme of EC class 3.",GO:0016787,IEA,molecular_function
TraesCS1A02G236500,lipid metabolic process,"The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids.",GO:0006629,IEA,biological_process
TraesCS1A02G250900,"transcription, DNA-templated",The cellular synthesis of RNA on a template of DNA.,GO:0006351,IEA,biological_process
TraesCS1A02G250900,nucleic acid binding,Binding to a nucleic acid.,GO:0003676,IEA,molecular_function
TraesCS1A02G250900,"RNA polymerase II, core complex","RNA polymerase II, one of three nuclear DNA-directed RNA polymerases found in all eukaryotes, is a multisubunit complex; typically it produces mRNAs, snoRNAs, and some of the snRNAs. Two large subunits comprise the most conserved portion including the catalytic site and share similarity with other eukaryotic and bacterial multisubunit RNA polymerases. The largest subunit of RNA polymerase II contains an essential carboxyl-terminal domain (CTD) composed of a variable number of heptapeptide repeats (YSPTSPS). The remainder of the complex is composed of smaller subunits (generally ten or more), some of which are also found in RNA polymerases I and III. Although the core is competent to mediate ribonucleic acid synthesis, it requires additional factors to select the appropriate template.",GO:0005665,IEA,cellular_component
TraesCS1A02G250900,"DNA-templated transcription, initiation","Any process involved in the assembly of the RNA polymerase preinitiation complex (PIC) at the core promoter region of a DNA template, resulting in the subsequent synthesis of RNA from that promoter. The initiation phase includes PIC assembly and the formation of the first few bonds in the RNA chain, including abortive initiation, which occurs when the first few nucleotides are repeatedly synthesized and then released. The initiation phase ends just before and does not include promoter clearance, or release, which is the transition between the initiation and elongation phases of transcription.",GO:0006352,IEA,biological_process
TraesCS1A02G250900,DNA-directed 5'-3' RNA polymerase activity,"Catalysis of the reaction: nucleoside triphosphate + RNA(n) = diphosphate + RNA(n+1). Utilizes a DNA template, i.e. the catalysis of DNA-template-directed extension of the 3'-end of an RNA strand by one nucleotide at a time. Can initiate a chain 'de novo'.",GO:0003899,IEA,molecular_function
TraesCS1A02G250900,nucleus,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.",GO:0005634,IEA,cellular_component
TraesCS1A02G250900,single-stranded DNA binding,Binding to single-stranded DNA.,GO:0003697,IBA,molecular_function
TraesCS1A02G250900,"RNA polymerase II, core complex","RNA polymerase II, one of three nuclear DNA-directed RNA polymerases found in all eukaryotes, is a multisubunit complex; typically it produces mRNAs, snoRNAs, and some of the snRNAs. Two large subunits comprise the most conserved portion including the catalytic site and share similarity with other eukaryotic and bacterial multisubunit RNA polymerases. The largest subunit of RNA polymerase II contains an essential carboxyl-terminal domain (CTD) composed of a variable number of heptapeptide repeats (YSPTSPS). The remainder of the complex is composed of smaller subunits (generally ten or more), some of which are also found in RNA polymerases I and III. Although the core is competent to mediate ribonucleic acid synthesis, it requires additional factors to select the appropriate template.",GO:0005665,IBA,cellular_component
TraesCS1A02G250900,P-body,"A focus in the cytoplasm where mRNAs may become inactivated by decapping or some other mechanism. Protein and RNA localized to these foci are involved in mRNA degradation, nonsense-mediated mRNA decay (NMD), translational repression, and RNA-mediated gene silencing.",GO:0000932,IBA,cellular_component
TraesCS1A02G250900,transcription initiation from RNA polymerase II promoter,"Any process involved in the assembly of the RNA polymerase II preinitiation complex (PIC) at an RNA polymerase II promoter region of a DNA template, resulting in the subsequent synthesis of RNA from that promoter. The initiation phase includes PIC assembly and the formation of the first few bonds in the RNA chain, including abortive initiation, which occurs when the first few nucleotides are repeatedly synthesized and then released. Promoter clearance, or release, is the transition between the initiation and elongation phases of transcription.",GO:0006367,IBA,biological_process
TraesCS1A02G250900,translation initiation factor binding,"Binding to a translation initiation factor, any polypeptide factor involved in the initiation of ribosome-mediated translation.",GO:0031369,IBA,molecular_function
TraesCS1A02G250900,single-stranded RNA binding,Binding to single-stranded RNA.,GO:0003727,IBA,molecular_function
TraesCS1A02G250900,"nuclear-transcribed mRNA catabolic process, exonucleolytic",The chemical reactions and pathways resulting in the breakdown of the transcript body of a nuclear-transcribed mRNA that occurs when the ends are not protected by the 5'-cap or the 3'-poly(A) tail.,GO:0000291,IBA,biological_process
TraesCS1A02G250900,positive regulation of translational initiation,"Any process that activates or increases the frequency, rate or extent of translational initiation.",GO:0045948,IBA,biological_process
TraesCS1A02G250900,positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,"Any process that increases the frequency, rate or extent of poly(A) tail shortening of a nuclear-transcribed mRNA. Poly(A) tail shortening is the decrease in length of the poly(A) tail of an mRNA from full length to an oligo(A) length.",GO:0060213,IBA,biological_process
TraesCS1A02G250900,DNA-directed RNA polymerase complex,A protein complex that possesses DNA-directed RNA polymerase activity.,GO:0000428,IEA,cellular_component
TraesCS1A02G251000,chloroplast,"A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma.",GO:0009507,IEA,cellular_component
TraesCS1A02G251000,histidine biosynthetic process,"The chemical reactions and pathways resulting in the formation of histidine, 2-amino-3-(1H-imidazol-4-yl)propanoic acid.",GO:0000105,IEA,biological_process
TraesCS1A02G251000,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity,Catalysis of the reaction: 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide = 5-[(5-phospho-1-deoxy-D-ribulos-1-ylimino)methylamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide.,GO:0003949,IEA,molecular_function
TraesCS1A02G264100,,,,,
TraesCS1A02G264200,,,,,
TraesCS1A02G282400,oxidoreductase activity,"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.",GO:0016491,IEA,molecular_function
TraesCS1A02G282500,kinase activity,"Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule.",GO:0016301,IEA,molecular_function
TraesCS1A02G288100,protein binding,Binding to a protein.,GO:0005515,IEA,molecular_function
TraesCS1A02G288200,,,,,
TraesCS1A02G307300,cytosol,"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.",GO:0005829,IEA,cellular_component
TraesCS1A02G307400,RNA binding,Binding to an RNA molecule or a portion thereof.,GO:0003723,IEA,molecular_function
TraesCS1A02G307400,structural constituent of ribosome,The action of a molecule that contributes to the structural integrity of the ribosome.,GO:0003735,IEA,molecular_function
TraesCS1A02G307400,translation,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome.",GO:0006412,IEA,biological_process
TraesCS1A02G307400,ribosome,"An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins.",GO:0005840,IEA,cellular_component
TraesCS1A02G307400,ribonucleoprotein complex,A macromolecular complex that contains both RNA and protein molecules.,GO:1990904,IEA,cellular_component
TraesCS1A02G307400,structural constituent of ribosome,The action of a molecule that contributes to the structural integrity of the ribosome.,GO:0003735,IBA,molecular_function
TraesCS1A02G307400,RNA binding,Binding to an RNA molecule or a portion thereof.,GO:0003723,IBA,molecular_function
TraesCS1A02G307400,cytosolic large ribosomal subunit,The large subunit of a ribosome located in the cytosol.,GO:0022625,IBA,cellular_component
TraesCS1A02G347800,,,,,
TraesCS1A02G347900,nucleus,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.",GO:0005634,IEA,cellular_component
TraesCS1A02G347900,DNA replication,"The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by initiation proteins, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA.",GO:0006260,IEA,biological_process
TraesCS1A02G349000,,,,,
TraesCS1A02G349100,integral component of membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,GO:0016021,IEA,cellular_component
TraesCS1A02G349100,protein transport,"The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",GO:0015031,IEA,biological_process
TraesCS1A02G349100,protein retention in ER lumen,"The retention in the endoplasmic reticulum (ER) lumen of soluble resident proteins. Sorting receptors retrieve proteins with ER localization signals, such as KDEL and HDEL sequences or some transmembrane domains, that have escaped to the cis-Golgi network and return them to the ER. Abnormally folded proteins and unassembled subunits are also selectively retained in the ER.",GO:0006621,IEA,biological_process
TraesCS1A02G349100,ER retention sequence binding,"Binding to an endoplasmic reticulum (ER) retention sequence, a specific peptide sequence that ensures a protein is retained within the ER.",GO:0046923,IEA,molecular_function
TraesCS1A02G349100,endoplasmic reticulum membrane,The lipid bilayer surrounding the endoplasmic reticulum.,GO:0005789,IEA,cellular_component
TraesCS1A02G349100,cis-Golgi network,"The network of interconnected tubular and cisternal structures located at the convex side of the Golgi apparatus, which abuts the endoplasmic reticulum.",GO:0005801,IEA,cellular_component
TraesCS1A02G368200,TBP-class protein binding,"Binding to a member of the class of TATA-binding proteins (TBP), including any of the TBP-related factors (TRFs).",GO:0017025,IEA,molecular_function
TraesCS1A02G368200,transcription preinitiation complex assembly,"The aggregation, arrangement and bonding together of proteins on promoter DNA to form the transcriptional preinitiation complex (PIC), required for transcription.",GO:0070897,IEA,biological_process
TraesCS1A02G368200,"DNA-templated transcription, initiation","Any process involved in the assembly of the RNA polymerase preinitiation complex (PIC) at the core promoter region of a DNA template, resulting in the subsequent synthesis of RNA from that promoter. The initiation phase includes PIC assembly and the formation of the first few bonds in the RNA chain, including abortive initiation, which occurs when the first few nucleotides are repeatedly synthesized and then released. The initiation phase ends just before and does not include promoter clearance, or release, which is the transition between the initiation and elongation phases of transcription.",GO:0006352,IEA,biological_process
TraesCS1A02G368300,,,,,
TraesCS1A02G389000,,,,,
TraesCS1A02G389100,,,,,
TraesCS1A02G397000,,,,,
TraesCS1A02G397100,,,,,
TraesCS1A02G398400,GTP binding,"Binding to GTP, guanosine triphosphate.",GO:0005525,IEA,molecular_function
TraesCS1A02G398400,GTPase activity,Catalysis of the reaction: GTP + H2O = GDP + phosphate.,GO:0003924,IEA,molecular_function
TraesCS1A02G398500,protein binding,Binding to a protein.,GO:0005515,IEA,molecular_function
TraesCS1A02G406400,integral component of membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,GO:0016021,IEA,cellular_component
TraesCS1A02G406500,structural constituent of ribosome,The action of a molecule that contributes to the structural integrity of the ribosome.,GO:0003735,IEA,molecular_function
TraesCS1A02G406500,translation,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome.",GO:0006412,IEA,biological_process
TraesCS1A02G406500,ribosome,"An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins.",GO:0005840,IEA,cellular_component
TraesCS1A02G417200,,,,,
TraesCS1A02G417300,peroxisomal membrane,The lipid bilayer surrounding a peroxisome.,GO:0005778,IEA,cellular_component
TraesCS1A02G417300,"protein import into peroxisome matrix, docking",The process in which a complex formed of a peroxisome targeting sequence (PTS) receptor bound to a PTS-bearing protein docks with translocation machinery in the peroxisomal membrane.,GO:0016560,IEA,biological_process
TraesCS1A02G417300,protein binding,Binding to a protein.,GO:0005515,IEA,molecular_function
TraesCS1A02G443600,nucleolus,"A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome.",GO:0005730,IEA,cellular_component
TraesCS1A02G443600,protein binding,Binding to a protein.,GO:0005515,IEA,molecular_function
TraesCS1A02G443700,RNA binding,Binding to an RNA molecule or a portion thereof.,GO:0003723,IEA,molecular_function
TraesCS1A02G443700,"mRNA splicing, via spliceosome","The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced.",GO:0000398,IEA,biological_process
TraesCS1A02G443700,spliceosomal complex,"Any of a series of ribonucleoprotein complexes that contain snRNA(s) and small nuclear ribonucleoproteins (snRNPs), and are formed sequentially during the spliceosomal splicing of one or more substrate RNAs, and which also contain the RNA substrate(s) from the initial target RNAs of splicing, the splicing intermediate RNA(s), to the final RNA products. During cis-splicing, the initial target RNA is a single, contiguous RNA transcript, whether mRNA, snoRNA, etc., and the released products are a spliced RNA and an excised intron, generally as a lariat structure. During trans-splicing, there are two initial substrate RNAs, the spliced leader RNA and a pre-mRNA.",GO:0005681,IEA,cellular_component
TraesCS1A02G443700,U4/U6 x U5 tri-snRNP complex,A ribonucleoprotein complex that is formed by the association of the U4/U6 and U5 snRNPs.,GO:0046540,IEA,cellular_component
