Gene stable ID,GO term name,GO term definition,GO term accession,GO term evidence code,GO domain
TraesCS1A02G140300,NADH dehydrogenase (ubiquinone) activity,Catalysis of the reaction: NADH + ubiquinone + 5 H(+)(in) <=> NAD(+) + ubiquinol + 4 H(+)(out).,GO:0008137,IEA,molecular_function
TraesCS1A02G140300,mitochondrial membrane,Either of the lipid bilayers that surround the mitochondrion and form the mitochondrial envelope.,GO:0031966,IEA,cellular_component
TraesCS1A02G140300,mitochondrion,"A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration.",GO:0005739,IEA,cellular_component
TraesCS1A02G140300,membrane,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,GO:0016020,IEA,cellular_component
TraesCS1A02G140300,electron transport chain,A process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors.,GO:0022900,IEA,biological_process
TraesCS1A02G140300,"oxidoreductase activity, acting on NAD(P)H",Catalysis of an oxidation-reduction (redox) reaction in which NADH or NADPH acts as a hydrogen or electron donor and reduces a hydrogen or electron acceptor.,GO:0016651,IEA,molecular_function
TraesCS1A02G140300,NADH dehydrogenase (ubiquinone) activity,Catalysis of the reaction: NADH + ubiquinone + 5 H(+)(in) <=> NAD(+) + ubiquinol + 4 H(+)(out).,GO:0008137,IBA,molecular_function
TraesCS1A02G140400,structural constituent of ribosome,The action of a molecule that contributes to the structural integrity of the ribosome.,GO:0003735,IEA,molecular_function
TraesCS1A02G140400,translation,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome.",GO:0006412,IEA,biological_process
TraesCS1A02G140400,ribosome,"An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins.",GO:0005840,IEA,cellular_component
TraesCS1A02G140400,small ribosomal subunit,The smaller of the two subunits of a ribosome.,GO:0015935,IEA,cellular_component
TraesCS1A02G140500,NADH dehydrogenase (ubiquinone) activity,Catalysis of the reaction: NADH + ubiquinone + 5 H(+)(in) <=> NAD(+) + ubiquinol + 4 H(+)(out).,GO:0008137,IEA,molecular_function
TraesCS1A02G148500,integral component of membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,GO:0016021,IEA,cellular_component
TraesCS1A02G148500,metal ion binding,Binding to a metal ion.,GO:0046872,IEA,molecular_function
TraesCS1A02G148500,chloroplast thylakoid membrane,The pigmented membrane of a chloroplast thylakoid. An example of this component is found in Arabidopsis thaliana.,GO:0009535,IEA,cellular_component
TraesCS1A02G148500,heme binding,"Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring.",GO:0020037,IEA,molecular_function
TraesCS1A02G148500,iron ion binding,Binding to an iron (Fe) ion.,GO:0005506,IEA,molecular_function
TraesCS1A02G148500,electron transfer activity,Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient.,GO:0009055,IEA,molecular_function
TraesCS1A02G148500,photosynthesis,"The synthesis by organisms of organic chemical compounds, especially carbohydrates, from carbon dioxide (CO2) using energy obtained from light rather than from the oxidation of chemical compounds.",GO:0015979,IEA,biological_process
TraesCS1A02G148500,photosystem II reaction center,"An integral membrane complex containing P680, the chlorophyll a molecule that functions as a primary electron donor. In the light, functioning as a water-plastoquinone oxidoreductase, it transfers electrons from water to plastoquinone.",GO:0009539,IEA,cellular_component
TraesCS1A02G148500,photosystem II,"A photosystem that contains a pheophytin-quinone reaction center with associated accessory pigments and electron carriers. In cyanobacteria and chloroplasts, in the presence of light, PSII functions as a water-plastoquinone oxidoreductase, transferring electrons from water to plastoquinone, whereas other photosynthetic bacteria carry out anoxygenic photosynthesis and oxidize other compounds to re-reduce the photoreaction center.",GO:0009523,IEA,cellular_component
TraesCS1A02G148500,photosynthetic electron transport chain,"A process, occurring as part of photosynthesis, in which light provides the energy for a series of electron carriers to operate together to transfer electrons and generate a transmembrane electrochemical gradient.",GO:0009767,IEA,biological_process
TraesCS1A02G148500,"photosynthesis, light reaction","The light reactions of photosynthesis, which take place in photosystems II and I. Light energy is harvested and used to power the transfer of electrons among a series of electron donors and acceptors. The final electron acceptor is NADP+, which is reduced to NADPH. NADPH generated from light reactions is used in sugar synthesis in dark reactions. Light reactions also generate a proton motive force across the thylakoid membrane, and the proton gradient is used to synthesize ATP. There are two chemical reactions involved in the light reactions: water oxidation in photosystem II, and NADP reduction in photosystem I.",GO:0019684,IEA,biological_process
TraesCS1A02G148500,chloroplast,"A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma.",GO:0009507,IEA,cellular_component
TraesCS1A02G148500,thylakoid,"A membranous cellular structure that bears the photosynthetic pigments in plants, algae, and cyanobacteria. In cyanobacteria thylakoids are of various shapes and are attached to, or continuous with, the plasma membrane. In eukaryotes they are flattened, membrane-bounded disk-like structures located in the chloroplasts; in the chloroplasts of higher plants the thylakoids form dense stacks called grana. Isolated thylakoid preparations can carry out photosynthetic electron transport and the associated phosphorylation.",GO:0009579,IEA,cellular_component
TraesCS1A02G148500,membrane,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,GO:0016020,IEA,cellular_component
TraesCS1A02G148500,plastid,"Any member of a family of organelles found in the cytoplasm of plants and some protists, which are membrane-bounded and contain DNA. Plant plastids develop from a common type, the proplastid.",GO:0009536,IEA,cellular_component
TraesCS1A02G148600,integral component of membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,GO:0016021,IEA,cellular_component
TraesCS1A02G148600,chloroplast thylakoid membrane,The pigmented membrane of a chloroplast thylakoid. An example of this component is found in Arabidopsis thaliana.,GO:0009535,IEA,cellular_component
TraesCS1A02G148600,heme binding,"Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring.",GO:0020037,IEA,molecular_function
TraesCS1A02G148600,iron ion binding,Binding to an iron (Fe) ion.,GO:0005506,IEA,molecular_function
TraesCS1A02G148600,electron transfer activity,Any molecular entity that serves as an electron acceptor and electron donor in an electron transport chain. An electron transport chain is a process in which a series of electron carriers operate together to transfer electrons from donors to any of several different terminal electron acceptors to generate a transmembrane electrochemical gradient.,GO:0009055,IEA,molecular_function
TraesCS1A02G148600,photosynthesis,"The synthesis by organisms of organic chemical compounds, especially carbohydrates, from carbon dioxide (CO2) using energy obtained from light rather than from the oxidation of chemical compounds.",GO:0015979,IEA,biological_process
TraesCS1A02G148600,photosystem II reaction center,"An integral membrane complex containing P680, the chlorophyll a molecule that functions as a primary electron donor. In the light, functioning as a water-plastoquinone oxidoreductase, it transfers electrons from water to plastoquinone.",GO:0009539,IEA,cellular_component
TraesCS1A02G148600,photosystem II,"A photosystem that contains a pheophytin-quinone reaction center with associated accessory pigments and electron carriers. In cyanobacteria and chloroplasts, in the presence of light, PSII functions as a water-plastoquinone oxidoreductase, transferring electrons from water to plastoquinone, whereas other photosynthetic bacteria carry out anoxygenic photosynthesis and oxidize other compounds to re-reduce the photoreaction center.",GO:0009523,IEA,cellular_component
TraesCS1A02G148600,photosynthetic electron transport chain,"A process, occurring as part of photosynthesis, in which light provides the energy for a series of electron carriers to operate together to transfer electrons and generate a transmembrane electrochemical gradient.",GO:0009767,IEA,biological_process
TraesCS1A02G148600,"photosynthesis, light reaction","The light reactions of photosynthesis, which take place in photosystems II and I. Light energy is harvested and used to power the transfer of electrons among a series of electron donors and acceptors. The final electron acceptor is NADP+, which is reduced to NADPH. NADPH generated from light reactions is used in sugar synthesis in dark reactions. Light reactions also generate a proton motive force across the thylakoid membrane, and the proton gradient is used to synthesize ATP. There are two chemical reactions involved in the light reactions: water oxidation in photosystem II, and NADP reduction in photosystem I.",GO:0019684,IEA,biological_process
TraesCS1A02G148600,chloroplast,"A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma.",GO:0009507,IEA,cellular_component
TraesCS1A02G148600,thylakoid,"A membranous cellular structure that bears the photosynthetic pigments in plants, algae, and cyanobacteria. In cyanobacteria thylakoids are of various shapes and are attached to, or continuous with, the plasma membrane. In eukaryotes they are flattened, membrane-bounded disk-like structures located in the chloroplasts; in the chloroplasts of higher plants the thylakoids form dense stacks called grana. Isolated thylakoid preparations can carry out photosynthetic electron transport and the associated phosphorylation.",GO:0009579,IEA,cellular_component
TraesCS1A02G148600,membrane,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,GO:0016020,IEA,cellular_component
TraesCS1A02G148600,plastid,"Any member of a family of organelles found in the cytoplasm of plants and some protists, which are membrane-bounded and contain DNA. Plant plastids develop from a common type, the proplastid.",GO:0009536,IEA,cellular_component
TraesCS1A02G148600,metal ion binding,Binding to a metal ion.,GO:0046872,IEA,molecular_function
TraesCS1A02G148700,membrane,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,GO:0016020,IEA,cellular_component
TraesCS1A02G148700,photosynthesis,"The synthesis by organisms of organic chemical compounds, especially carbohydrates, from carbon dioxide (CO2) using energy obtained from light rather than from the oxidation of chemical compounds.",GO:0015979,IEA,biological_process
TraesCS1A02G148700,photosystem II reaction center,"An integral membrane complex containing P680, the chlorophyll a molecule that functions as a primary electron donor. In the light, functioning as a water-plastoquinone oxidoreductase, it transfers electrons from water to plastoquinone.",GO:0009539,IEA,cellular_component
TraesCS1A02G148700,photosystem II,"A photosystem that contains a pheophytin-quinone reaction center with associated accessory pigments and electron carriers. In cyanobacteria and chloroplasts, in the presence of light, PSII functions as a water-plastoquinone oxidoreductase, transferring electrons from water to plastoquinone, whereas other photosynthetic bacteria carry out anoxygenic photosynthesis and oxidize other compounds to re-reduce the photoreaction center.",GO:0009523,IEA,cellular_component
TraesCS1A02G148700,cytoplasm,"The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.",GO:0005737,IEA,cellular_component
TraesCS1A02G148700,intracellular organelle,"Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane.",GO:0043229,IEA,cellular_component
TraesCS1A02G148800,membrane,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,GO:0016020,IEA,cellular_component
TraesCS1A02G148800,photosynthesis,"The synthesis by organisms of organic chemical compounds, especially carbohydrates, from carbon dioxide (CO2) using energy obtained from light rather than from the oxidation of chemical compounds.",GO:0015979,IEA,biological_process
TraesCS1A02G148800,photosystem II reaction center,"An integral membrane complex containing P680, the chlorophyll a molecule that functions as a primary electron donor. In the light, functioning as a water-plastoquinone oxidoreductase, it transfers electrons from water to plastoquinone.",GO:0009539,IEA,cellular_component
TraesCS1A02G148800,photosystem II,"A photosystem that contains a pheophytin-quinone reaction center with associated accessory pigments and electron carriers. In cyanobacteria and chloroplasts, in the presence of light, PSII functions as a water-plastoquinone oxidoreductase, transferring electrons from water to plastoquinone, whereas other photosynthetic bacteria carry out anoxygenic photosynthesis and oxidize other compounds to re-reduce the photoreaction center.",GO:0009523,IEA,cellular_component
TraesCS1A02G156700,structural constituent of ribosome,The action of a molecule that contributes to the structural integrity of the ribosome.,GO:0003735,IEA,molecular_function
TraesCS1A02G156700,translation,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome.",GO:0006412,IEA,biological_process
TraesCS1A02G156700,ribosome,"An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins.",GO:0005840,IEA,cellular_component
TraesCS1A02G156700,small ribosomal subunit,The smaller of the two subunits of a ribosome.,GO:0015935,IEA,cellular_component
TraesCS1A02G156800,,,,,
TraesCS1A02G157100,RNA binding,Binding to an RNA molecule or a portion thereof.,GO:0003723,IEA,molecular_function
TraesCS1A02G157100,structural constituent of ribosome,The action of a molecule that contributes to the structural integrity of the ribosome.,GO:0003735,IEA,molecular_function
TraesCS1A02G157100,translation,"The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome.",GO:0006412,IEA,biological_process
TraesCS1A02G157100,small ribosomal subunit,The smaller of the two subunits of a ribosome.,GO:0015935,IEA,cellular_component
TraesCS1A02G157200,NADH dehydrogenase (ubiquinone) activity,Catalysis of the reaction: NADH + ubiquinone + 5 H(+)(in) <=> NAD(+) + ubiquinol + 4 H(+)(out).,GO:0008137,IEA,molecular_function
TraesCS1A02G157200,ATP synthesis coupled electron transport,"The transfer of electrons through a series of electron donors and acceptors, generating energy that is ultimately used for synthesis of ATP.",GO:0042773,IEA,biological_process
TraesCS1A02G157200,chloroplast,"A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma.",GO:0009507,IEA,cellular_component
TraesCS1A02G157200,thylakoid,"A membranous cellular structure that bears the photosynthetic pigments in plants, algae, and cyanobacteria. In cyanobacteria thylakoids are of various shapes and are attached to, or continuous with, the plasma membrane. In eukaryotes they are flattened, membrane-bounded disk-like structures located in the chloroplasts; in the chloroplasts of higher plants the thylakoids form dense stacks called grana. Isolated thylakoid preparations can carry out photosynthetic electron transport and the associated phosphorylation.",GO:0009579,IEA,cellular_component
TraesCS1A02G157200,chloroplast thylakoid membrane,The pigmented membrane of a chloroplast thylakoid. An example of this component is found in Arabidopsis thaliana.,GO:0009535,IEA,cellular_component
TraesCS1A02G157200,membrane,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,GO:0016020,IEA,cellular_component
TraesCS1A02G157200,plastid,"Any member of a family of organelles found in the cytoplasm of plants and some protists, which are membrane-bounded and contain DNA. Plant plastids develop from a common type, the proplastid.",GO:0009536,IEA,cellular_component
TraesCS1A02G157200,"oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor",Catalysis of an oxidation-reduction (redox) reaction in which NADH or NADPH acts as a hydrogen or electron donor and reduces a quinone or a similar acceptor molecule.,GO:0016655,IEA,molecular_function
TraesCS1A02G157200,quinone binding,"Binding to a quinone, any member of a class of diketones derivable from aromatic compounds by conversion of two CH groups into CO groups with any necessary rearrangement of double bonds.",GO:0048038,IEA,molecular_function
TraesCS1A02G157200,"photosynthesis, light reaction","The light reactions of photosynthesis, which take place in photosystems II and I. Light energy is harvested and used to power the transfer of electrons among a series of electron donors and acceptors. The final electron acceptor is NADP+, which is reduced to NADPH. NADPH generated from light reactions is used in sugar synthesis in dark reactions. Light reactions also generate a proton motive force across the thylakoid membrane, and the proton gradient is used to synthesize ATP. There are two chemical reactions involved in the light reactions: water oxidation in photosystem II, and NADP reduction in photosystem I.",GO:0019684,IEA,biological_process
TraesCS1A02G165100,integral component of membrane,The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane.,GO:0016021,IEA,cellular_component
TraesCS1A02G165100,metal ion binding,Binding to a metal ion.,GO:0046872,IEA,molecular_function
TraesCS1A02G165100,heme binding,"Binding to a heme, a compound composed of iron complexed in a porphyrin (tetrapyrrole) ring.",GO:0020037,IEA,molecular_function
TraesCS1A02G165100,photosynthesis,"The synthesis by organisms of organic chemical compounds, especially carbohydrates, from carbon dioxide (CO2) using energy obtained from light rather than from the oxidation of chemical compounds.",GO:0015979,IEA,biological_process
TraesCS1A02G165100,photosystem II,"A photosystem that contains a pheophytin-quinone reaction center with associated accessory pigments and electron carriers. In cyanobacteria and chloroplasts, in the presence of light, PSII functions as a water-plastoquinone oxidoreductase, transferring electrons from water to plastoquinone, whereas other photosynthetic bacteria carry out anoxygenic photosynthesis and oxidize other compounds to re-reduce the photoreaction center.",GO:0009523,IEA,cellular_component
TraesCS1A02G165100,photosynthetic electron transport chain,"A process, occurring as part of photosynthesis, in which light provides the energy for a series of electron carriers to operate together to transfer electrons and generate a transmembrane electrochemical gradient.",GO:0009767,IEA,biological_process
TraesCS1A02G165100,"photosynthesis, light reaction","The light reactions of photosynthesis, which take place in photosystems II and I. Light energy is harvested and used to power the transfer of electrons among a series of electron donors and acceptors. The final electron acceptor is NADP+, which is reduced to NADPH. NADPH generated from light reactions is used in sugar synthesis in dark reactions. Light reactions also generate a proton motive force across the thylakoid membrane, and the proton gradient is used to synthesize ATP. There are two chemical reactions involved in the light reactions: water oxidation in photosystem II, and NADP reduction in photosystem I.",GO:0019684,IEA,biological_process
TraesCS1A02G165200,membrane,A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it.,GO:0016020,IEA,cellular_component
TraesCS1A02G165200,photosynthesis,"The synthesis by organisms of organic chemical compounds, especially carbohydrates, from carbon dioxide (CO2) using energy obtained from light rather than from the oxidation of chemical compounds.",GO:0015979,IEA,biological_process
TraesCS1A02G165200,photosystem II reaction center,"An integral membrane complex containing P680, the chlorophyll a molecule that functions as a primary electron donor. In the light, functioning as a water-plastoquinone oxidoreductase, it transfers electrons from water to plastoquinone.",GO:0009539,IEA,cellular_component
TraesCS1A02G165200,photosystem II,"A photosystem that contains a pheophytin-quinone reaction center with associated accessory pigments and electron carriers. In cyanobacteria and chloroplasts, in the presence of light, PSII functions as a water-plastoquinone oxidoreductase, transferring electrons from water to plastoquinone, whereas other photosynthetic bacteria carry out anoxygenic photosynthesis and oxidize other compounds to re-reduce the photoreaction center.",GO:0009523,IEA,cellular_component
TraesCS1A02G269700,,,,,
TraesCS1A02G269800,,,,,
TraesCS1A02G287600,,,,,
TraesCS1A02G287700,DNA binding,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,GO:0003677,IEA,molecular_function
TraesCS1A02G287700,plasma membrane,The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.,GO:0005886,IEA,cellular_component
TraesCS1A02G287700,nucleosome,"A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures.",GO:0000786,IEA,cellular_component
TraesCS1A02G287700,nucleosome assembly,"The aggregation, arrangement and bonding together of a nucleosome, the beadlike structural units of eukaryotic chromatin composed of histones and DNA.",GO:0006334,IEA,biological_process
TraesCS1A02G287700,vacuolar membrane,The lipid bilayer surrounding the vacuole and separating its contents from the cytoplasm of the cell.,GO:0005774,IEA,cellular_component
TraesCS1A02G287700,protein heterodimerization activity,Binding to a nonidentical protein to form a heterodimer.,GO:0046982,IEA,molecular_function
TraesCS1A02G287700,nucleolus,"A small, dense body one or more of which are present in the nucleus of eukaryotic cells. It is rich in RNA and protein, is not bounded by a limiting membrane, and is not seen during mitosis. Its prime function is the transcription of the nucleolar DNA into 45S ribosomal-precursor RNA, the processing of this RNA into 5.8S, 18S, and 28S components of ribosomal RNA, and the association of these components with 5S RNA and proteins synthesized outside the nucleolus. This association results in the formation of ribonucleoprotein precursors; these pass into the cytoplasm and mature into the 40S and 60S subunits of the ribosome.",GO:0005730,IEA,cellular_component
TraesCS1A02G287700,chloroplast,"A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma.",GO:0009507,IEA,cellular_component
TraesCS1A02G287700,thylakoid,"A membranous cellular structure that bears the photosynthetic pigments in plants, algae, and cyanobacteria. In cyanobacteria thylakoids are of various shapes and are attached to, or continuous with, the plasma membrane. In eukaryotes they are flattened, membrane-bounded disk-like structures located in the chloroplasts; in the chloroplasts of higher plants the thylakoids form dense stacks called grana. Isolated thylakoid preparations can carry out photosynthetic electron transport and the associated phosphorylation.",GO:0009579,IEA,cellular_component
TraesCS1A02G287700,cytosol,"The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.",GO:0005829,IEA,cellular_component
TraesCS1A02G287700,plasmodesma,"A fine cytoplasmic channel, found in all higher plants, that connects the cytoplasm of one cell to that of an adjacent cell.",GO:0009506,IEA,cellular_component
TraesCS1A02G287700,response to water deprivation,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a water deprivation stimulus, prolonged deprivation of water.",GO:0009414,IEA,biological_process
