Requested ID,Matched ID(s),Releases,,,,,,,
Traes_3DL_C7592B4A1,TraesCS3A02G282200,108: TraesCS3A02G282200.193: TraesCS3A02G282200.1,,,,,,,
Traes_3DL_C7592B4A1,TraesCS3D02G282200,108: TraesCS3D02G282200.193: TraesCS3D02G282200.1,,,,,,,
Traes_3DL_C7592B4A1,TraesCS3B02G315900,108: TraesCS3B02G315900.193: TraesCS3B02G315900.1,,,,,,,
Traes_7DL_1CBD5E967,TraesCS7D02G360200,108: TraesCS7D02G360200.193: TraesCS7D02G360200.1,,,,,,,
Traes_7DL_1CBD5E967,TraesCS7B02G266300,108: TraesCS7B02G266300.193: TraesCS7B02G266300.1,,,,,,,
Traes_7DL_1CBD5E967,TraesCS7A02G362900,108: TraesCS7A02G362900.193: TraesCS7A02G362900.1,,,,,,,
Traes_1DL_6ABDC1768,TraesCS1A02G355400,108: TraesCS1A02G355400.193: TraesCS1A02G355400.1,,,,,,,
Traes_1DL_6ABDC1768,TraesCS1B02G366200,108: TraesCS1B02G366200.193: TraesCS1B02G366200.1,,,,,,,
Traes_1DL_6ABDC1768,TraesCS1D02G355000,108: TraesCS1D02G355000.193: TraesCS1D02G355000.1,,,,,,,
Traes_7DL_7F2F3A0D5,TraesCS7B02G291400,108: TraesCS7B02G291400.193: TraesCS7B02G291400.1,,,,,,,
Traes_7DL_7F2F3A0D5,TraesCS7A02G389600,108: TraesCS7A02G389600.193: TraesCS7A02G389600.1,,,,,,,
Traes_7DL_7F2F3A0D5,TraesCS7D02G385700,108: TraesCS7D02G385700.193: TraesCS7D02G385700.1,,,,,,,
Traes_7DL_4D88ACAAE,TraesCS7D02G525000,108: TraesCS7D02G525000.193: TraesCS7D02G525000.1,,,,,,,
Traes_7DL_4D88ACAAE,TraesCS7A02G539100,108: TraesCS7A02G539100.193: TraesCS7A02G539100.1,,,,,,,
Traes_7DL_4D88ACAAE,TraesCS7B02G461900,108: TraesCS7B02G461900.193: TraesCS7B02G461900.1,,,,,,,
Traes_3DL_F817074C4,TraesCS3D02G236000,108: TraesCS3D02G236000.193: TraesCS3D02G236000.1,,,,,,,
Traes_3DL_F817074C4,TraesCS3A02G235000,108: TraesCS3A02G235000.193: TraesCS3A02G235000.1,,,,,,,
Traes_3DL_F817074C4,TraesCS3B02G264800,108: TraesCS3B02G264800.193: TraesCS3B02G264800.1,,,,,,,
Traes_7DL_4B5D31084,TraesCS7B02G411500,108: TraesCS7B02G411500.193: TraesCS7B02G411500.1,,,,,,,
Traes_7DL_4B5D31084,TraesCS7A02G504500,108: TraesCS7A02G504500.193: TraesCS7A02G504500.1,,,,,,,
Traes_7DL_4B5D31084,TraesCS7D02G491600,108: TraesCS7D02G491600.193: TraesCS7D02G491600.1,,,,,,,
Traes_2DL_605278B87,TraesCS2B02G418500,108: TraesCS2B02G418500.193: TraesCS2B02G418500.1,,,,,,,
Traes_2DL_605278B87,TraesCS2A02G400400,108: TraesCS2A02G400400.193: TraesCS2A02G400400.1,,,,,,,
Traes_2DL_605278B87,TraesCS2D02G398000,108: TraesCS2D02G398000.193: TraesCS2D02G398000.1,,,,,,,
Traes_1DL_92F24F5E3,TraesCS1D02G144400,108: TraesCS1D02G144400.193: TraesCS1D02G144400.1,,,,,,,
Traes_1DL_92F24F5E3,TraesCS1A02G145800,108: TraesCS1A02G145800.193: TraesCS1A02G145800.1,,,,,,,
Traes_1DL_92F24F5E3,TraesCS1B02G164000,108: TraesCS1B02G164000.193: TraesCS1B02G164000.1,,,,,,,
Traes_6DL_D9C861357,TraesCS6D02G231600,108: TraesCS6D02G231600.193: TraesCS6D02G231600.1,,,,,,,
Traes_6DL_D9C861357,TraesCS6B02G275500,108: TraesCS6B02G275500.193: TraesCS6B02G275500.1,,,,,,,
Traes_6DL_D9C861357,TraesCS6A02G249900,108: TraesCS6A02G249900.193: TraesCS6A02G249900.1,,,,,,,
Traes_6DL_EC95AC355,TraesCS6B02G248300,108: TraesCS6B02G248300.193: TraesCS6B02G248300.1,,,,,,,
Traes_6DL_EC95AC355,TraesCS6A02G218800,108: TraesCS6A02G218800.193: TraesCS6A02G218800.1,,,,,,,
Traes_6DL_EC95AC355,TraesCS6D02G201900,108: TraesCS6D02G201900.193: TraesCS6D02G201900.1,,,,,,,
Traes_2DL_6843A472A,TraesCS2D02G536900,108: TraesCS2D02G536900.193: TraesCS2D02G536900.1,,,,,,,
Traes_2DL_6843A472A,TraesCS2B02G565000,108: TraesCS2B02G565000.193: TraesCS2B02G565000.1,,,,,,,
Traes_2DL_6843A472A,TraesCS2A02G534400,108: TraesCS2A02G534400.193: TraesCS2A02G534400.1,,,,,,,
Traes_6DS_5CD55B199,TraesCS6A02G107900,108: TraesCS6A02G107900.193: TraesCS6A02G107900.1,,,,,,,
Traes_6DS_5CD55B199,TraesCS6B02G136500,108: TraesCS6B02G136500.193: TraesCS6B02G136500.1,,,,,,,
Traes_6DS_5CD55B199,TraesCS6D02G095800,108: TraesCS6D02G095800.193: TraesCS6D02G095800.1,,,,,,,
Traes_2DL_5F9FE7566,TraesCS2B02G305700,108: TraesCS2B02G305700.193: TraesCS2B02G305700.1,,,,,,,
Traes_2DL_5F9FE7566,TraesCS2D02G287100,108: TraesCS2D02G287100.193: TraesCS2D02G287100.1,,,,,,,
Traes_2DL_5F9FE7566,TraesCS2A02G289100,108: TraesCS2A02G289100.193: TraesCS2A02G289100.1,,,,,,,
Traes_1DL_AFDF3B024,TraesCS1B02G285800,108: TraesCS1B02G285800.193: TraesCS1B02G285800.1,,,,,,,
Traes_1DL_AFDF3B024,TraesCS1A02G276600,108: TraesCS1A02G276600.193: TraesCS1A02G276600.1,,,,,,,
Traes_1DL_AFDF3B024,TraesCS1D02G276100,108: TraesCS1D02G276100.193: TraesCS1D02G276100.1,,,,,,,
Traes_4DL_ECEE169A7,TraesCS4D02G275300,108: TraesCS4D02G275300.193: TraesCS4D02G275300.1,,,,,,,
Traes_4DL_ECEE169A7,TraesCS4B02G276700,108: TraesCS4B02G276700.193: TraesCS4B02G276700.1,,,,,,,
Traes_4DL_ECEE169A7,TraesCS4A02G029100,108: TraesCS4A02G029100.193: TraesCS4A02G029100.1,,,,,,,
Traes_1DL_9ACB9CE23,TraesCS1D02G393000,108: TraesCS1D02G393000.193: TraesCS1D02G393000.1,,,,,,,
Traes_1DL_9ACB9CE23,TraesCS1B02G411700,108: TraesCS1B02G411700.193: TraesCS1B02G411700.1,,,,,,,
Traes_1DL_9ACB9CE23,TraesCS1A02G385400,108: TraesCS1A02G385400.193: TraesCS1A02G385400.1,,,,,,,
Traes_3DL_8BE075ED9,TraesCS3A02G280900,108: TraesCS3A02G280900.193: TraesCS3A02G280900.1,,,,,,,
Traes_3DL_8BE075ED9,TraesCS3B02G314700,108: TraesCS3B02G314700.193: TraesCS3B02G314700.1,,,,,,,
Traes_3DL_8BE075ED9,TraesCS3D02G280900,108: TraesCS3D02G280900.193: TraesCS3D02G280900.1,,,,,,,
Traes_1DL_E30609261,TraesCS1D02G327700,108: TraesCS1D02G327700.193: TraesCS1D02G327700.1,,,,,,,
Traes_1DL_E30609261,TraesCS1A02G325900,108: TraesCS1A02G325900.193: TraesCS1A02G325900.1,,,,,,,
Traes_1DL_E30609261,TraesCS1B02G339200,108: TraesCS1B02G339200.193: TraesCS1B02G339200.1,,,,,,,
Traes_2DL_65004C5E2,TraesCS2D02G323900,108: TraesCS2D02G323900.193: TraesCS2D02G323900.1,,,,,,,
Traes_2DL_65004C5E2,TraesCS2A02G339200,108: TraesCS2A02G339200.193: TraesCS2A02G339200.1,,,,,,,
Traes_2DL_65004C5E2,TraesCS2B02G342800,108: TraesCS2B02G342800.193: TraesCS2B02G342800.1,,,,,,,
Traes_4DS_0A01300F2,TraesCS4A02G219500,108: TraesCS4A02G219500.193: TraesCS4A02G219500.1,,,,,,,
Traes_4DS_0A01300F2,TraesCS4D02G094200,108: TraesCS4D02G094200.193: TraesCS4D02G094200.1,,,,,,,
Traes_4DS_0A01300F2,TraesCS4B02G098000,108: TraesCS4B02G098000.193: TraesCS4B02G098000.1,,,,,,,
Traes_4DS_0A01300F2,TraesCSU02G146200,108: TraesCSU02G146200.193: TraesCSU02G146200.1,,,,,,,
Traes_5DL_AC7C885A0,TraesCS5D02G216300,108: TraesCS5D02G216300.193: TraesCS5D02G216300.1,,,,,,,
Traes_5DL_AC7C885A0,TraesCS5A02G210100,108: TraesCS5A02G210100.193: TraesCS5A02G210100.1,,,,,,,
Traes_5DL_AC7C885A0,TraesCS5B02G208100,108: TraesCS5B02G208100.193: TraesCS5B02G208100.1,,,,,,,
Traes_4DL_1120E8821,TraesCS4D02G223600,108: TraesCS4D02G223600.193: TraesCS4D02G223600.1,,,,,,,
Traes_4DL_1120E8821,TraesCS4B02G223300,108: TraesCS4B02G223300.193: TraesCS4B02G223300.1,,,,,,,
Traes_4DL_1120E8821,TraesCS4A02G080700,108: TraesCS4A02G080700.193: TraesCS4A02G080700.1,,,,,,,
Traes_6DL_3E32C59D2,TraesCSU02G080700,108: TraesCSU02G080700.193: TraesCSU02G080700.1,,,,,,,
Traes_6DL_3E32C59D2,TraesCS6D02G326400,108: TraesCS6D02G326400.193: TraesCS6D02G326400.1,,,,,,,
Traes_6DL_3E32C59D2,TraesCS6B02G376500,108: TraesCS6B02G376500.193: TraesCS6B02G376500.1,,,,,,,
Traes_5DL_61509ABD3,TraesCS5D02G176300,108: TraesCS5D02G176300.193: TraesCS5D02G176300.1,,,,,,,
Traes_5DL_61509ABD3,TraesCS5A02G171500,108: TraesCS5A02G171500.193: TraesCS5A02G171500.1,,,,,,,
Traes_5DL_61509ABD3,TraesCS5B02G169000,108: TraesCS5B02G169000.193: TraesCS5B02G169000.1,,,,,,,
Traes_6DL_A9902BA1E,TraesCS6B02G280900,108: TraesCS6B02G280900.193: TraesCS6B02G280900.1,,,,,,,
Traes_6DL_A9902BA1E,TraesCS6A02G243400,108: TraesCS6A02G243400.193: TraesCS6A02G243400.1,,,,,,,
Traes_6DL_A9902BA1E,TraesCS6D02G225600,108: TraesCS6D02G225600.193: TraesCS6D02G225600.1,,,,,,,
Traes_2DL_8C4A359D0,TraesCS2A02G463000,108: TraesCS2A02G463000.193: TraesCS2A02G463000.1,,,,,,,
Traes_2DL_8C4A359D0,TraesCS2D02G463600,108: TraesCS2D02G463600.193: TraesCS2D02G463600.1,,,,,,,
Traes_7DL_9D7E0DFC9,TraesCS7A02G415100,108: TraesCS7A02G415100.193: TraesCS7A02G415100.1,,,,,,,
Traes_7DL_9D7E0DFC9,TraesCS7B02G315000,108: TraesCS7B02G315000.193: TraesCS7B02G315000.1,,,,,,,
Traes_7DL_9D7E0DFC9,TraesCS7D02G408300,108: TraesCS7D02G408300.193: TraesCS7D02G408300.1,,,,,,,
Traes_5DS_82A595BE9,TraesCS5B02G046400,108: TraesCS5B02G046400.193: TraesCS5B02G046400.1,,,,,,,
Traes_5DS_82A595BE9,TraesCS5A02G042800,108: TraesCS5A02G042800.193: TraesCS5A02G042800.1,,,,,,,
Traes_5DS_82A595BE9,TraesCS5D02G051300,108: TraesCS5D02G051300.193: TraesCS5D02G051300.1,,,,,,,
Traes_5DL_BA4FE0FDA,TraesCS5A02G221800,108: TraesCS5A02G221800.193: TraesCS5A02G221800.1,,,,,,,
Traes_5DL_BA4FE0FDA,TraesCS5D02G229600,108: TraesCS5D02G229600.193: TraesCS5D02G229600.1,,,,,,,
Traes_5DL_BA4FE0FDA,TraesCS5B02G220600,108: TraesCS5B02G220600.193: TraesCS5B02G220600.1,,,,,,,
Traes_7DL_1DF94E957,TraesCS7A02G411800,108: TraesCS7A02G411800.193: TraesCS7A02G411800.1,,,,,,,
Traes_7DL_1DF94E957,TraesCS7B02G311000,108: TraesCS7B02G311000.193: TraesCS7B02G311000.1,,,,,,,
Traes_7DL_1DF94E957,TraesCS7D02G405000,108: TraesCS7D02G405000.193: TraesCS7D02G405000.1,,,,,,,
Traes_6DL_5EC59C60B,TraesCS6B02G238100,108: TraesCS6B02G238100.193: TraesCS6B02G238100.1,,,,,,,
Traes_6DL_5EC59C60B,TraesCS6A02G209100,108: TraesCS6A02G209100.193: TraesCS6A02G209100.1,,,,,,,
Traes_6DL_5EC59C60B,TraesCS6D02G192600,108: TraesCS6D02G192600.193: TraesCS6D02G192600.1,,,,,,,
Traes_7DL_1A1F17F97,TraesCS7D02G446600,108: TraesCS7D02G446600.193: TraesCS7D02G446600.1,,,,,,,
Traes_7DL_1A1F17F97,TraesCS7B02G358000,108: TraesCS7B02G358000.193: TraesCS7B02G358000.1,,,,,,,
Traes_7DL_1A1F17F97,TraesCS7A02G458600,108: TraesCS7A02G458600.193: TraesCS7A02G458600.1,,,,,,,
Traes_7DL_613F5240E,TraesCS7D02G349600,108: TraesCS7D02G349600.193: TraesCS7D02G349600.1,,,,,,,
Traes_7DL_613F5240E,TraesCS7A02G373500,108: TraesCS7A02G373500.193: TraesCS7A02G373500.1,,,,,,,
Traes_7DL_613F5240E,TraesCS7B02G253500,108: TraesCS7B02G253500.193: TraesCS7B02G253500.1,,,,,,,
Traes_3DS_73D9DA0AA,TraesCS3B02G128000,108: TraesCS3B02G128000.193: TraesCS3B02G128000.1,,,,,,,
Traes_3DS_73D9DA0AA,TraesCS3D02G110700,108: TraesCS3D02G110700.193: TraesCS3D02G110700.1,,,,,,,
Traes_3DS_73D9DA0AA,TraesCS3A02G108900,108: TraesCS3A02G108900.193: TraesCS3A02G108900.1,,,,,,,
Traes_2DS_3C528B377,TraesCS2D02G205000,108: TraesCS2D02G205000.193: TraesCS2D02G205000.1,,,,,,,
Traes_2DS_3C528B377,TraesCS2A02G197100,108: TraesCS2A02G197100.193: TraesCS2A02G197100.1,,,,,,,
Traes_2DS_3C528B377,TraesCS2B02G224600,108: TraesCS2B02G224600.193: TraesCS2B02G224600.1,,,,,,,
Traes_7DS_A6A3547F2,TraesCS7D02G162400,108: TraesCS7D02G162400.193: TraesCS7D02G162400.1,,,,,,,
Traes_7DS_A6A3547F2,TraesCS7A02G161100,108: TraesCS7A02G161100.193: TraesCS7A02G161100.1,,,,,,,
Traes_7DS_A6A3547F2,TraesCS7B02G066100,108: TraesCS7B02G066100.193: TraesCS7B02G066100.1,,,,,,,
Traes_4DS_15DCA0AD9,TraesCS4A02G185000,108: TraesCS4A02G185000.193: TraesCS4A02G185000.1,,,,,,,
Traes_4DS_15DCA0AD9,TraesCS4D02G128600,108: TraesCS4D02G128600.193: TraesCS4D02G128600.1,,,,,,,
Traes_4DS_15DCA0AD9,TraesCS4B02G133600,108: TraesCS4B02G133600.193: TraesCS4B02G133600.1,,,,,,,
Traes_3DL_24BB937CF,TraesCS3D02G350000,108: TraesCS3D02G350000.193: TraesCS3D02G350000.1,,,,,,,
Traes_3DL_24BB937CF,TraesCS3B02G388900,108: TraesCS3B02G388900.193: TraesCS3B02G388900.1,,,,,,,
Traes_3DL_24BB937CF,TraesCS3A02G356000,108: TraesCS3A02G356000.193: TraesCS3A02G356000.1,,,,,,,
Traes_1DL_583EA9B4A,TraesCS1D02G156000,108: TraesCS1D02G156000.193: TraesCS1D02G156000.1,,,,,,,
Traes_1DL_583EA9B4A,TraesCS1A02G158700,108: TraesCS1A02G158700.193: TraesCS1A02G158700.1,,,,,,,
Traes_1DL_583EA9B4A,TraesCS1B02G174700,108: TraesCS1B02G174700.193: TraesCS1B02G174700.1,,,,,,,
Traes_4DS_75CA84065,TraesCS4D02G104600,108: TraesCS4D02G104600.193: TraesCS4D02G104600.1,,,,,,,
Traes_4DS_75CA84065,TraesCS4A02G203800,108: TraesCS4A02G203800.193: TraesCS4A02G203800.1,,,,,,,
Traes_4DS_75CA84065,TraesCS4B02G107500,108: TraesCS4B02G107500.193: TraesCS4B02G107500.1,,,,,,,
Traes_5DL_42505571D,TraesCS5A02G389800,108: TraesCS5A02G389800.193: TraesCS5A02G389800.1,,,,,,,
Traes_5DL_42505571D,TraesCS5D02G399700,108: TraesCS5D02G399700.193: TraesCS5D02G399700.1,,,,,,,
Traes_5DL_42505571D,TraesCS5B02G394800,108: TraesCS5B02G394800.193: TraesCS5B02G394800.1,,,,,,,
Traes_2DL_E130D1E89,TraesCS2D02G467300,108: TraesCS2D02G467300.193: TraesCS2D02G467300.1,,,,,,,
Traes_2DL_E130D1E89,TraesCS2B02G490100,108: TraesCS2B02G490100.193: TraesCS2B02G490100.1,,,,,,,
Traes_2DL_E130D1E89,TraesCS2A02G467300,108: TraesCS2A02G467300.193: TraesCS2A02G467300.1,,,,,,,
Traes_7DL_EC8695618,TraesCS7A02G311300,108: TraesCS7A02G311300.193: TraesCS7A02G311300.1,,,,,,,
Traes_7DL_EC8695618,TraesCS7B02G210900,108: TraesCS7B02G210900.193: TraesCS7B02G210900.1,,,,,,,
Traes_7DL_EC8695618,TraesCS7D02G307700,108: TraesCS7D02G307700.193: TraesCS7D02G307700.1,,,,,,,
Traes_6DS_762984823,TraesCS6D02G159100,108: TraesCS6D02G159100.193: TraesCS6D02G159100.1,,,,,,,
Traes_6DS_762984823,TraesCS6B02G197300,108: TraesCS6B02G197300.193: TraesCS6B02G197300.1,,,,,,,
Traes_6DS_762984823,TraesCS6A02G169300,108: TraesCS6A02G169300.193: TraesCS6A02G169300.1,,,,,,,
Traes_6DL_39276DDB6,TraesCS6D02G273000,108: TraesCS6D02G273000.193: TraesCS6D02G273000.1,,,,,,,
Traes_6DL_39276DDB6,TraesCS6A02G291800,108: TraesCS6A02G291800.193: TraesCS6A02G291800.1,,,,,,,
Traes_6DL_39276DDB6,TraesCS6B02G322200,108: TraesCS6B02G322200.193: TraesCS6B02G322200.1,,,,,,,
Traes_5DL_67EF60096,TraesCS5A02G161600,108: TraesCS5A02G161600.193: TraesCS5A02G161600.1,,,,,,,
Traes_5DL_67EF60096,TraesCS5B02G159100,108: TraesCS5B02G159100.193: TraesCS5B02G159100.1,,,,,,,
Traes_5DL_67EF60096,TraesCS5D02G167500,108: TraesCS5D02G167500.193: TraesCS5D02G167500.1,,,,,,,
Traes_7DL_B63590FDE,TraesCS7B02G201400,108: TraesCS7B02G201400.193: TraesCS7B02G201400.1,,,,,,,
Traes_7DL_B63590FDE,TraesCS7A02G300500,108: TraesCS7A02G300500.193: TraesCS7A02G300500.1,,,,,,,
Traes_7DL_B63590FDE,TraesCS7D02G296300,108: TraesCS7D02G296300.193: TraesCS7D02G296300.1,,,,,,,
Traes_1DL_93BCED372,TraesCS1A02G255300,108: TraesCS1A02G255300.193: TraesCS1A02G255300.1,,,,,,,
Traes_1DL_93BCED372,TraesCS1B02G266100,108: TraesCS1B02G266100.193: TraesCS1B02G266100.1,,,,,,,
Traes_1DL_93BCED372,TraesCS1D02G254700,108: TraesCS1D02G254700.193: TraesCS1D02G254700.1,,,,,,,
Traes_2DL_B58F04C8A,TraesCS2D02G578600,108: TraesCS2D02G578600.193: TraesCS2D02G578600.1,,,,,,,
Traes_2DL_B58F04C8A,TraesCS2A02G567900,108: TraesCS2A02G567900.193: TraesCS2A02G567900.1,,,,,,,
Traes_2DL_B58F04C8A,TraesCS2B02G628700,108: TraesCS2B02G628700.193: TraesCS2B02G628700.1,,,,,,,
Traes_4DL_B17A2FE32,TraesCS4A02G094400,108: TraesCS4A02G094400.193: TraesCS4A02G094400.1,,,,,,,
Traes_4DL_B17A2FE32,TraesCS4B02G210000,108: TraesCS4B02G210000.193: TraesCS4B02G210000.1,,,,,,,
Traes_4DL_B17A2FE32,TraesCS4D02G210800,108: TraesCS4D02G210800.193: TraesCS4D02G210800.1,,,,,,,
Traes_1DL_A1045C6C2,TraesCS1A02G312300,108: TraesCS1A02G312300.193: TraesCS1A02G312300.1,,,,,,,
Traes_1DL_A1045C6C2,TraesCS1D02G312500,108: TraesCS1D02G312500.193: TraesCS1D02G312500.1,,,,,,,
Traes_1DL_A1045C6C2,TraesCS1B02G324000,108: TraesCS1B02G324000.193: TraesCS1B02G324000.1,,,,,,,
Traes_5DS_E926DC301,TraesCS5A02G059600,108: TraesCS5A02G059600.193: TraesCS5A02G059600.1,,,,,,,
Traes_5DS_E926DC301,TraesCS5B02G066900,108: TraesCS5B02G066900.193: TraesCS5B02G066900.1,,,,,,,
Traes_5DS_E926DC301,TraesCS5D02G071100,108: TraesCS5D02G071100.193: TraesCS5D02G071100.1,,,,,,,
Traes_7DS_B010D4D1E,TraesCS7A02G249000,108: TraesCS7A02G249000.193: TraesCS7A02G249000.1,,,,,,,
