Gene stable ID,Strand,Chromosome/scaffold name,Gene description,Gene start (bp),Gene end (bp),Transcription start site (TSS)
Os08g0558200,1,8,Thioredoxin fold domain containing protein,27938261,27941159,27938261
Os04g0175600,1,4,Similar to 0-methyltransferase (EC 2.1.1.6) (Fragment),5161947,5167404,5161947
Os11g0202500,1,11,UDP-glucuronosyl/UDP-glucosyltransferase domain containing protein,5178433,5178938,5178433
Os01g0732300,1,1,"Protein of unknown function DUF623, plant domain containing protein",30542800,30544054,30542800
Os01g0168200,-1,1,Similar to Thioredoxin-like protein,3489348,3491991,3491991
Os05g0280600,1,5,Hypothetical protein,11753538,11754420,11753538
Os10g0555600,-1,10,Beta-expansin precursor,21830158,21831694,21831694
Os12g0147200,1,12,Conserved hypothetical protein,2312450,2313217,2312450
Os08g0484400,-1,8,Bacterial Fmu (Sun)/eukaryotic nucleolar NOL1/Nop2p domain containing protein,23926958,23934321,23934321
Os05g0431266,-1,5,Hypothetical conserved gene,21162574,21162980,21162980
Os03g0710900,1,3,Similar to CCAAT displacement protein-related / CDP-related,28671127,28678954,28671127
Os12g0633301,1,12,Conserved hypothetical protein,27134483,27135201,27134483
Os02g0100200,-1,2,"Steroid nuclear receptor, ligand-binding domain containing protein",9298,13896,13896
Os06g0590800,-1,6,Hypothetical conserved gene,23204548,23206070,23206070
Os08g0109900,-1,8,Similar to Nucleic acid binding protein,513763,518274,518274
Os10g0430700,1,10,Conserved hypothetical protein,15330610,15336096,15330610
Os11g0625900,-1,11,"Protein kinase, core domain containing protein",24533715,24537481,24537481
Os12g0291200,1,12,Similar to Ribulose bisphosphate carboxylase small chain,11265647,11267889,11265647
Os03g0811900,1,3,Similar to ADP-ribosylation factor,34006999,34009631,34006999
Os05g0412400,1,5,Conserved hypothetical protein,20178355,20179218,20178355
Os10g0567850,1,10,Hypothetical protein,22504734,22510031,22504734
Os07g0169300,1,7,EGF-type aspartate/asparagine hydroxylation site domain containing protein,3690095,3692444,3690095
Os02g0235701,-1,2,Conserved hypothetical protein,7677010,7687373,7687373
Os01g0507500,1,1,"Transcription elognation factor  Eaf, N-terminal domain containing protein",17708828,17713352,17708828
Os04g0671900,-1,4,"Transcription factor, Regulator for phosphate homeostasi",34278477,34285845,34285845
Os04g0671900,-1,4,"Transcription factor, Regulator for phosphate homeostasi",34278477,34285845,34281440
Os04g0671900,-1,4,"Transcription factor, Regulator for phosphate homeostasi",34278477,34285845,34282330
Os02g0127900,1,2,Conserved hypothetical protein,1447139,1449583,1447139
Os01g0718900,-1,1,MADF domain domain containing protein,29951353,29952644,29952644
Os05g0157500,1,5,Conserved hypothetical protein,3361187,3364486,3361187
Os05g0345100,1,5,Similar to patellin-5,16216665,16217960,16216665
Os03g0730000,-1,3,Lecithin:cholesterol acyltransferase family protein,29844900,29847027,29847027
Os01g0797600,1,1,"AP2/ERF family protein, ERF-associated EAR-motif-containing repressor, Abiotic stress response, Stress signalin",33766984,33768044,33766984
Os02g0178700,1,2,Helix-loop-helix DNA-binding domain containing protein,4350872,4351973,4350872
Os09g0572600,1,9,Similar to Receptor protein kinase-like protein,22903020,22904830,22903020
Os03g0195300,-1,3,Similar to Low affinity sulphate transporter 3,4946360,4950941,4950941
Os11g0595200,1,11,PAP fibrillin family protein,22660534,22662341,22660534
Os05g0136400,1,5,Conserved hypothetical protein,2124240,2127599,2124240
Os01g0165000,1,1,"Transcription factor, Dehydration and salt stress toleranc",3356383,3361204,3356461
Os01g0165000,1,1,"Transcription factor, Dehydration and salt stress toleranc",3356383,3361204,3356383
Os09g0347550,1,9,Hypothetical protein,10906211,10909687,10906211
Os04g0569000,1,4,Similar to Replication factor C 40kDa subunit,28597338,28600300,28597338
Os02g0318600,-1,2,Similar to PDR-like ABC transporter,12680087,12680627,12680627
Os03g0710500,1,3,Similar to Luminal binding protein,28647086,28649570,28647086
Os04g0656800,-1,4,Similar to Peroxidase precursor (EC 1.11.1.7),33500008,33506112,33506112
Os08g0235650,-1,8,Hypothetical conserved gene,8229426,8237973,8237973
Os12g0617900,-1,12,Similar to Serine/threonine protein phosphatase,26306869,26315803,26308392
Os12g0617900,-1,12,Similar to Serine/threonine protein phosphatase,26306869,26315803,26315803
Os12g0617900,-1,12,Similar to Serine/threonine protein phosphatase,26306869,26315803,26315532
Os08g0372700,1,8,Hypothetical conserved gene,17427398,17431448,17427398
Os06g0152600,-1,6,Hypothetical gene,2714450,2715128,2715128
Os10g0529600,-1,10,Hypothetical protein,20597016,20599106,20599106
Os03g0207300,-1,3,Similar to Casein kinase II alpha subunit,5616064,5620692,5620692
Os03g0207300,-1,3,Similar to Casein kinase II alpha subunit,5616064,5620692,5618830
Os06g0604300,1,6,"Chloroplast-localized phospholipase D, Herbivore defens",23921940,23924919,23921940
Os01g0637500,1,1,Similar to polygalacturonase,25582050,25583950,25582050
Os01g0607900,-1,1,Serine/threonine protein kinase-related domain containing protein,23976021,23981901,23981901
Os01g0339500,-1,1,Similar to No apical meristem protein,13342969,13345864,13345864
Os11g0590400,1,11,Similar to NB-ARC domain containing protein,22419268,22423063,22419268
Os01g0660450,1,1,Similar to 3-5 exonuclease family protein,26912591,26913295,26912591
Os08g0433050,1,8,Similar to Arginine decarboxylase,20997575,20997816,20997575
Os04g0127300,1,4,"Peptidase S8 and S53, subtilisin, kexin, sedolisin domain containing protein",1717097,1720332,1717097
Os04g0281900,1,4,"Uncharacterised protein family UPF0497, trans-membrane plant subgroup domain containing protein",12026975,12029441,12026975
Os04g0281900,1,4,"Uncharacterised protein family UPF0497, trans-membrane plant subgroup domain containing protein",12026975,12029441,12027019
Os05g0559350,-1,5,Similar to binding,27839324,27840565,27840565
Os04g0602400,-1,4,"Similar to Maltose excess protein 1, chloroplast precursor (Root cap protein 1)",30396952,30401924,30401924
Os03g0858700,-1,3,Protein of unknown function DUF1499 family protein,36243208,36245053,36245053
Os07g0574150,1,7,Hypothetical protein,23209009,23209629,23209009
Os06g0507100,-1,6,Similar to Prolamin,18065964,18066543,18066543
Os09g0454200,-1,9,Conserved hypothetical protein,17062568,17067527,17067527
Os09g0454200,-1,9,Conserved hypothetical protein,17062568,17067527,17064761
Os02g0795900,-1,2,Similar to DEAD box-like RNA helicase (Fragment),33838855,33843632,33843632
Os11g0591400,-1,11,Conserved hypothetical protein,22485140,22490224,22490224
Os02g0189100,-1,2,"Mediator complex, subunit Med11 domain containing protein",4938785,4942005,4942005
Os09g0315000,1,9,Similar to mpv17 / PMP22 family protein,8644115,8652428,8644115
Os05g0545300,-1,5,Serine/threonine protein kinase domain containing protein,27068628,27070015,27070015
Os01g0663300,1,1,Similar to (1-4)-beta-mannan endohydrolase-like protein,27081819,27085661,27081819
Os06g0623300,-1,6,NAD(P)-binding domain containing protein,25073667,25076452,25076452
Os08g0561000,1,8,Hypothetical conserved gene,28084607,28086381,28084607
Os02g0203700,-1,2,Similar to Testis expressed sequence 13A protein,5798921,5806347,5806347
Os02g0203700,-1,2,Similar to Testis expressed sequence 13A protein,5798921,5806347,5800880
Os03g0810800,1,3,"Short-chain alcohol dehydrogenase, ABA biosynthesis, Lesion mimic formation, Disease-resistance, Seed dormanc",33938998,33941323,33938998
Os01g0859300,1,1,"bZIP transcription factor, Stress response and ABA signal transduction, Regulation of plant fertilit",37174575,37176344,37174575
Os07g0512100,-1,7,Similar to protein binding protein,19614348,19617474,19617474
Os09g0362900,1,9,SET domain containing protein,11870519,11874251,11870519
Os11g0175500,1,11,"RING finger E3 ligase, Negative regulator in response to salinit",3749274,3755192,3749292
Os11g0175500,1,11,"RING finger E3 ligase, Negative regulator in response to salinit",3749274,3755192,3749274
Os06g0707300,-1,6,Cyclin-like F-box domain containing protein,29891030,29892905,29892905
Os06g0657750,-1,6,Conserved hypothetical protein,27042850,27042998,27042998
Os11g0597601,-1,11,Hypothetical conserved gene,22799288,22808829,22808829
Os06g0647900,-1,6,Conserved hypothetical protein,26482520,26483810,26483810
Os06g0714200,1,6,Similar to calcium dependent protein kinase1,30301723,30308397,30301723
Os01g0393200,1,1,Conserved hypothetical protein,16721664,16722131,16721664
Os09g0120033,-1,9,Hypothetical protein,1535519,1538149,1538149
Os09g0120033,-1,9,Hypothetical protein,1535519,1538149,1537191
Os01g0250200,-1,1,Conserved hypothetical protein,8247740,8247985,8247985
Os03g0169000,-1,3,Similar to F16A14.24,3713492,3721105,3721105
Os03g0169000,-1,3,Similar to F16A14.24,3713492,3721105,3718519
Os03g0288000,1,3,Similar to Metallothionein,9957175,9958291,9957175
Os03g0288000,1,3,Similar to Metallothionein,9957175,9958291,9957356
Os04g0282200,1,4,Protein of unknown function DUF1685 family protein,12047171,12048694,12047171
Os07g0169100,-1,7,Zinc finger A20 domain-containing stress-associated protein 18,3683525,3685666,3685666
Os03g0225200,-1,3,"Cyclin, A/B/D/E domain containing protein",6556389,6562025,6562025
Os03g0225200,-1,3,"Cyclin, A/B/D/E domain containing protein",6556389,6562025,6562023
Os11g0697001,1,11,Hypothetical gene,28509005,28514468,28509005
Os03g0205400,1,3,"Similar to XPG I-region family protein, expressed",5508753,5516754,5508753
Os03g0328501,-1,3,Similar to OSIGBa0103O01.10 protein,12028298,12029781,12029781
Os06g0579100,1,6,Conserved hypothetical protein,22556192,22558566,22556192
Os02g0767600,1,2,Similar to RHC1A,32324316,32326103,32324316
Os02g0717800,-1,2,Similar to 60S ribosomal protein l31 (Fragment),29794965,29797238,29797238
Os07g0490600,-1,7,Similar to Type II membrane protein,18241609,18246904,18246904
Os02g0677300,1,2,Similar to CRT/DRE binding factor 1,27652935,27654206,27652935
Os07g0230600,1,7,Hypothetical conserved gene,7268817,7269392,7268817
Os04g0402300,1,4,Similar to Cysteine-type peptidase,19933241,19937491,19933241
Os01g0174300,-1,1,Flavoprotein pyridine nucleotide cytochrome reductase domain containing protein,3820177,3824512,3824512
Os01g0174300,-1,1,Flavoprotein pyridine nucleotide cytochrome reductase domain containing protein,3820177,3824512,3824433
Os03g0279500,-1,3,Similar to Helix-loop-helix DNA-binding domain containing protein,9513940,9515292,9515292
Os09g0240200,-1,9,"Zinc finger, B-box domain containing protein",3048085,3064471,3064471
Os03g0854100,-1,3,Similar to ARF GAP-like zinc finger-containing protein ZIGA2 (Fragment),35975476,35978914,35978914
Os03g0854100,-1,3,Similar to ARF GAP-like zinc finger-containing protein ZIGA2 (Fragment),35975476,35978914,35976900
Os02g0674400,1,2,Conserved hypothetical protein,27469581,27475332,27469581
Os01g0277500,1,1,"Dof (DNA binding with one finger) transcription factor, C2-C2 zinc finger transcription factor, Regulation of flowering tim",9733832,9738224,9733832
Os07g0274700,1,7,HvB12D protein (B12Dg1 protein),10231836,10232644,10231836
Os07g0471200,-1,7,Hypothetical protein,16893333,16895018,16895018
Os02g0791450,-1,2,Hypothetical protein,33618707,33619898,33619898
Os07g0535600,1,7,F-box associated interaction domain domain containing protein,21029521,21030450,21029521
Os11g0474400,1,11,Conserved hypothetical protein,16370016,16372484,16370016
Os03g0636700,1,3,IQ calmodulin-binding region domain containing protein,24347498,24349006,24347498
Os04g0306400,1,4,Ribose 5-phosphate isomerase family protein,13802278,13803456,13802278
Os11g0567600,1,11,Leucine-rich repeat domain containing protein,21145760,21148865,21145760
Os06g0194900,-1,6,Sucrose synthase 2 (EC 2.4.1.13),4796628,4802509,4802437
Os06g0194900,-1,6,Sucrose synthase 2 (EC 2.4.1.13),4796628,4802509,4802509
Os06g0194900,-1,6,Sucrose synthase 2 (EC 2.4.1.13),4796628,4802509,4800197
Os06g0194900,-1,6,Sucrose synthase 2 (EC 2.4.1.13),4796628,4802509,4802472
Os04g0594050,-1,4,Similar to predicted protein,30027568,30027754,30027754
Os03g0414900,1,3,Conserved hypothetical protein,17197456,17198247,17197456
Os06g0128300,-1,6,"Mitochondrial half ABC (ATP-binding cassette) transporter, Iron homeostasis, Meristem maintenanc",1492909,1502583,1502583
Os06g0128300,-1,6,"Mitochondrial half ABC (ATP-binding cassette) transporter, Iron homeostasis, Meristem maintenanc",1492909,1502583,1502379
Os06g0128300,-1,6,"Mitochondrial half ABC (ATP-binding cassette) transporter, Iron homeostasis, Meristem maintenanc",1492909,1502583,1496640
Os01g0847600,1,1,"Aldo-keto reductase, Detoxification of abiotic stress-related reactive aldehydes, Oxidative and heat stress tolerance, Herbicide resistanc",36403442,36407379,36403442
Os02g0563800,-1,2,Cyclin-like F-box domain containing protein,21396354,21399727,21399727
Os02g0563800,-1,2,Cyclin-like F-box domain containing protein,21396354,21399727,21399192
Os02g0106201,-1,2,Hypothetical protein,343383,346491,346491
Os08g0135800,1,8,"Zinc finger, CCCH-type domain containing protein",2019190,2026643,2024016
Os08g0135800,1,8,"Zinc finger, CCCH-type domain containing protein",2019190,2026643,2019203
Os08g0135800,1,8,"Zinc finger, CCCH-type domain containing protein",2019190,2026643,2019190
Os10g0576600,-1,10,Tetratricopeptide-like helical domain containing protein,22964272,22965575,22965575
Os01g0901550,-1,1,Hypothetical gene,39254244,39256494,39256494
Os08g0411900,-1,8,Conserved hypothetical protein,19703902,19707972,19707972
Os11g0237300,-1,11,Hypothetical conserved gene,7331985,7332623,7332623
Os05g0425600,1,5,Hypothetical protein,20844456,20847089,20844456
Os06g0158500,-1,6,Conserved hypothetical protein,2985133,2990867,2990867
Os01g0146801,-1,1,Conserved hypothetical protein,2541950,2542484,2542484
Os04g0349600,1,4,Pentatricopeptide repeat domain containing protein,16661799,16664487,16661799
Os01g0245532,-1,1,"Similar to J075123K08, full insert sequence",8023787,8025021,8025021
Os09g0507550,1,9,Hypothetical protein,19674695,19676991,19674695
Os03g0351200,-1,3,NAD(P)-binding domain containing protein,13155851,13157256,13157256
Os03g0639700,1,3,Similar to protein recA,24591421,24596437,24591421
Os12g0420866,1,12,Hypothetical gene,13160334,13163269,13160334
Os02g0780600,1,2,"mRNA capping enzyme, large subunit domain containing protein",33073135,33077126,33073135
Os02g0780600,1,2,"mRNA capping enzyme, large subunit domain containing protein",33073135,33077126,33073178
Os04g0402700,1,4,Hypothetical protein,19962993,19963556,19962993
Os06g0149200,-1,6,Conserved hypothetical protein,2554746,2554991,2554991
Os04g0196300,1,4,Hypothetical protein,6567884,6568626,6567884
Os08g0463900,1,8,"Heat shock protein DnaJ, cysteine-rich region domain containing protein",22772976,22775044,22772976
Os06g0299100,-1,6,Glucose/ribitol dehydrogenase family protein,11116720,11118276,11118276
Os05g0424800,-1,5,Similar to AER274Wp,20807123,20811218,20811218
Os09g0536000,-1,9,Exodeoxyribonuclease III xth family protein,21064014,21068725,21068725
Os04g0121800,1,4,Hypothetical conserved gene,1320596,1321287,1320596
Os02g0722700,1,2,Similar to Nucleic acid binding protein,30011066,30015609,30011066
Os07g0438500,1,7,Octicosapeptide/Phox/Bem1p domain containing protein,14723111,14727159,14723111
Os01g0203800,-1,1,"Protein of unknown function DUF641, plant domain containing protein",5699652,5707756,5707756
Os01g0203800,-1,1,"Protein of unknown function DUF641, plant domain containing protein",5699652,5707756,5701472
Os05g0580600,-1,5,Conserved hypothetical protein,28900488,28903104,28903104
Os06g0122600,1,6,"Peptidase C48, SUMO/Sentrin/Ubl1 domain containing protein",1194478,1199548,1194478
Os05g0344200,-1,5,Conserved hypothetical protein,16178796,16179674,16179674
Os04g0475900,1,4,"Acyl-carrier protein synthase (ACPS)-like domain containing protein, Fertility restoration in Chinese wild rice-type cytoplasmic male sterility (CW-CMS",23818561,23819413,23818561
Os07g0137800,-1,7,"Protein kinase, core domain containing protein",1992626,1994724,1994724
Os01g0281200,-1,1,Similar to Type B-like cyclin (Fragment),10011875,10015468,10015468
Os04g0405401,-1,4,Hypothetical conserved gene,20117097,20119136,20119136
Os02g0455900,1,2,Putative B3 domain-containing protein Os02g0455900,15134001,15134819,15134001
Os01g0759900,1,1,Similar to Permease 1,31976840,31980051,31976840
Os02g0743100,1,2,"Zinc finger, RING/FYVE/PHD-type domain containing protein",31141034,31142384,31141034
Os03g0664800,1,3,Acyl-CoA N-acyltransferase domain containing protein,26119970,26120830,26119970
Os06g0567666,-1,6,Hypothetical gene,21898980,21902172,21902172
Os11g0599466,-1,11,Hypothetical gene,22948353,22954688,22954688
Os04g0204000,-1,4,Similar to H0825G02.2 protein,7024752,7028981,7028981
Os04g0221300,-1,4,Pentatricopeptide repeat domain containing protein,8083780,8090712,8086943
Os04g0221300,-1,4,Pentatricopeptide repeat domain containing protein,8083780,8090712,8090712
Os03g0210600,-1,3,Conserved hypothetical protein,5774735,5775940,5775940
Os12g0111700,1,12,Conserved hypothetical protein,610219,612177,610219
Os04g0496800,-1,4,LETM1-like domain containing protein,24846908,24853939,24853939
Os11g0195700,-1,11,Conserved hypothetical protein,4805210,4806760,4806760
Os01g0693466,1,1,Hypothetical gene,28625335,28625865,28625335
Os01g0117025,1,1,Hypothetical protein,957952,960545,957952
Os09g0539500,-1,9,Similar to SKP1-like protein 1A,21243207,21245827,21245827
Os07g0301500,-1,7,"Protein kinase, catalytic domain domain containing protein",11909796,11913642,11913642
Os02g0272600,1,2,Aph-1 family protein,9902631,9907870,9902631
Os03g0793550,-1,3,Hypothetical protein,33001509,33004482,33004482
Os12g0245000,1,12,Conserved hypothetical protein,8025163,8027395,8025163
Os12g0245000,1,12,Conserved hypothetical protein,8025163,8027395,8026505
Os12g0236800,-1,12,Conserved hypothetical protein,7536249,7538021,7538021
Os06g0178400,1,6,Hypothetical conserved gene,3891331,3892009,3891331
Os12g0624000,1,12,Similar to Methionine synthase protein,26657277,26662924,26657277
Os12g0624000,1,12,Similar to Methionine synthase protein,26657277,26662924,26658185
Os04g0317300,1,4,Similar to OSIGBa0113K06.4 protein,14526290,14528182,14526290
Os01g0218200,1,1,Thioredoxin domain 2 containing protein,6471789,6476664,6471789
Os05g0595800,-1,5,Serine-threonine/tyrosine-protein kinase domain containing protein,29677769,29681781,29681781
Os06g0507150,-1,6,Hypothetical conserved gene,18067619,18068240,18068240
Os04g0392300,1,4,Hypothetical conserved gene,19300027,19301775,19300027
Os11g0677500,-1,11,"Similar to Ribonucleases P/MRP protein subunit POP1 containing protein, expressed",27383694,27386883,27386883
Os12g0242700,1,12,"Similar to 3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplast precursor (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase 1) (Beta- keto acyl-carrier protein reductase 1)",7915608,7918642,7915608
Os05g0338900,1,5,Oligopeptide transporter domain containing protein,15867456,15873587,15867456
Os08g0376600,1,8,Serine/threonine protein kinase domain containing protein,17672834,17674381,17672834
Os03g0761200,-1,3,Ankyrin repeat containing protein,31476241,31480062,31480062
Os09g0418500,1,9,Similar to CBL-interacting protein kinase 14,15027311,15034300,15027311
Os08g0527700,-1,8,Similar to POT family protein,26269575,26270741,26270741
Os03g0408600,-1,3,"GRAS-domain transcription factor, Strigolactone (SL) biosynthesi",16804298,16805869,16805869
Os06g0608550,-1,6,Hypothetical protein,24222336,24222696,24222696
Os01g0720400,-1,1,"HAD-superfamily subfamily IB hydrolase, hypothetical 1 protein",30025366,30026465,30026465
Os04g0525800,-1,4,Similar to OSIGBa0115K01-H0319F09.1 protein,26296166,26296783,26296783
Os02g0101500,-1,2,"Peroxisomal hydroxypyruvate reductase, NADH-dependent HPR, Photorespiratory metabolis",78483,82952,82880
Os02g0101500,-1,2,"Peroxisomal hydroxypyruvate reductase, NADH-dependent HPR, Photorespiratory metabolis",78483,82952,82952
Os06g0149500,1,6,Conserved hypothetical protein,2565186,2567638,2565186
Os01g0900750,-1,1,Hypothetical gene,39200106,39206627,39206627
Os04g0465500,-1,4,Acyl-CoA N-acyltransferase domain containing protein,23275807,23277462,23277462
Os03g0248250,1,3,Hypothetical conserved gene,7834136,7839572,7834136
Os01g0199300,1,1,Similar to lachrymatory factor synthase,5384196,5385088,5384196
Os07g0136400,1,7,Conserved hypothetical protein,1925715,1927041,1925715
Os02g0506500,1,2,Similar to ubiquitin-activating enzyme E1 domain-containing protein 1,18039127,18049853,18039127
Os02g0506500,1,2,Similar to ubiquitin-activating enzyme E1 domain-containing protein 1,18039127,18049853,18039129
Os02g0506500,1,2,Similar to ubiquitin-activating enzyme E1 domain-containing protein 1,18039127,18049853,18039134
Os05g0331532,-1,5,Similar to Prolamin,15512583,15513163,15513163
Os08g0550700,-1,8,Similar to Auxin induced protein,27622346,27623105,27623105
Os05g0250200,-1,5,Hypothetical conserved gene,9134551,9137621,9137621
Os10g0508700,-1,10,Pectinesterase inhibitor domain containing protein,19530118,19532281,19532281
Os06g0548100,-1,6,Similar to Nectarin 5 (Fragment),20735880,20737650,20737650
Os08g0152100,1,8,"A member of the Nodulin26-like Intrinsic Protein (NIP) family, Arsenite transporte",2997031,2998457,2997031
Os11g0524300,1,11,Protein of unknown function DUF1001 family protein,18981895,18987914,18981895
Os02g0274600,-1,2,"Tesmin/TSO1-like, CXC domain containing protein",10042489,10047801,10047801
Os07g0475400,-1,7,Similar to Expansin-like protein A (Fragment),17162250,17165698,17165698
Os04g0616600,-1,4,Serine/threonine protein kinase-related domain containing protein,31308749,31310236,31310236
Os08g0203201,1,8,Similar to SHR5-receptor-like kinase (Fragment),5988432,5988931,5988432
Os07g0529700,1,7,Similar to Xyloglucan endotransglucosylase/hydrolase 1,20729432,20731215,20729432
Os07g0529700,1,7,Similar to Xyloglucan endotransglucosylase/hydrolase 1,20729432,20731215,20729434
Os05g0304800,1,5,Histone-fold domain containing protein,13749904,13751460,13749904
Os12g0418200,1,12,Conserved hypothetical protein,12962679,12963317,12962679
Os02g0142500,1,2,Similar to SAR1 (SUPPRESSOR OF AUXIN RESISTANCE1),2343538,2345234,2343538
Os05g0472850,-1,5,Hypothetical protein,23216585,23217185,23217185
Os01g0976200,-1,1,11-S plant seed storage protein family protein,43136240,43137717,43137717
Os07g0587250,-1,7,Hypothetical conserved gene,23899073,23899642,23899642
Os01g0222300,-1,1,Conserved hypothetical protein,6694030,6696795,6696795
Os02g0742700,1,2,Conserved hypothetical protein,31111841,31114590,31111841
Os06g0528350,-1,6,Conserved hypothetical protein,19610157,19612031,19612031
Os06g0267900,-1,6,NB-ARC domain containing protein,8913931,8917864,8917864
Os09g0351700,-1,9,"Protein kinase, catalytic domain domain containing protein",11171639,11178687,11178687
Os03g0186100,1,3,Similar to Uroporphyrinogen III synthase,4496734,4500824,4496734
Os02g0699400,1,2,RelA/SpoT protein domain containing protein,28763385,28767194,28763385
Os06g0685250,-1,6,Hypothetical protein,28558347,28563878,28563878
Os04g0513400,1,4,Similar to Beta-glucosidase,25658339,25667057,25658339
Os11g0121500,-1,11,Protein kinase-like domain containing protein,959445,963088,963088
Os09g0376600,1,9,Tyrosine protein kinase domain containing protein,12627180,12629654,12627180
Os01g0710000,1,1,Similar to WD-repeat protein RBAP1,29501122,29506948,29501122
Os08g0419000,1,8,Conserved hypothetical protein,20032118,20033171,20032118
Os03g0377100,1,3,Similar to Expansin (Expansin2),14894714,14896143,14894714
Os11g0519100,1,11,Similar to OSIGBa0132O24.2 protein,18655353,18658368,18655353
Os12g0137700,-1,12,Sulfotransferase family protein,1830784,1832039,1832039
