Gene stable ID,Strand,Chromosome/scaffold name,Gene description,Gene start (bp),Gene end (bp),Transcription start site (TSS)
A03p058960.1_BraROA,-1,A03,,25606090,25608237,25608237
A09g501740.1_BraROA,1,A09,,6447755,6449210,6447755
A01g506680.1_BraROA,-1,A01,,19662624,19663004,19663004
A09p010550.1_BraROA,-1,A09,,5380458,5382780,5382780
A02p029490.1_BraROA,-1,A02,,15059263,15061226,15061226
A09p010910.1_BraROA,1,A09,,5526472,5529742,5526472
A05g506700.1_BraROA,1,A05,,18874072,18875689,18874072
A06p014850.1_BraROA,1,A06,TRF-like 3 [Source:Projected from Arabidopsis thaliana (AT1G17460) UniProtKB/TrEMBL;Acc:F4I7K3],6643184,6645923,6643184
A06p007000.1_BraROA,1,A06,,2425859,2426371,2425859
A08g500010.1_BraROA,-1,A08,,2446,3204,3204
A04g507260.1_BraROA,-1,A04,,17556696,17560880,17560880
A07p040340.1_BraROA,-1,A07,,21416000,21416764,21416764
A07p022770.1_BraROA,-1,A07,,13258100,13258645,13258645
A09p014710.1_BraROA,-1,A09,"3-oxoacyl-[acyl-carrier-protein] synthase III, chloroplastic [Source:Projected from Arabidopsis thaliana (AT1G62640) UniProtKB/Swiss-Prot;Acc:P49243]",9519369,9521309,9521309
A10p037200.1_BraROA,-1,A10,,21033999,21034370,21034370
A02g503250.1_BraROA,1,A02,,10713660,10714843,10713660
A06g504400.1_BraROA,-1,A06,,13908594,13911167,13911167
A10p038600.1_BraROA,-1,A10,,21536588,21538135,21538135
A09p063820.1_BraROA,1,A09,,51659747,51662273,51659747
A01p018080.1_BraROA,1,A01,,8808633,8810836,8808633
A05p008520.1_BraROA,-1,A05,,3485312,3486485,3486485
A08p028820.1_BraROA,1,A08,Phosphate transporter PHO1 homolog 4 [Source:Projected from Arabidopsis thaliana (AT4G25350) UniProtKB/Swiss-Prot;Acc:Q6R8G6],17944585,17947837,17944585
A03p066730.1_BraROA,1,A03,,29508043,29512334,29508043
A02p006260.1_BraROA,-1,A02,,2648462,2651825,2651825
A03g503080.1_BraROA,-1,A03,,9338107,9340064,9340064
A08g506260.1_BraROA,1,A08,,10765082,10766665,10765082
A06p009350.1_BraROA,1,A06,,3275940,3276209,3275940
A08p017590.1_BraROA,1,A08,,12224371,12225431,12224371
A06p057000.1_BraROA,-1,A06,,29643862,29647281,29647281
A09p046040.1_BraROA,1,A09,,40255848,40257066,40255848
A07p020970.1_BraROA,-1,A07,,12348032,12349786,12349786
A04g500380.1_BraROA,1,A04,,1281954,1282330,1281954
A07p041090.1_BraROA,1,A07,,22187120,22188569,22187120
A08g504730.1_BraROA,-1,A08,,7899743,7900259,7900259
A06g507550.1_BraROA,1,A06,,21137682,21142255,21137682
A01p006140.1_BraROA,-1,A01,"Pentatricopeptide repeat-containing protein At4g32450, mitochondrial [Source:Projected from Arabidopsis thaliana (AT4G32450) UniProtKB/Swiss-Prot;Acc:Q9SUU7]",3157112,3158719,3158719
A09p017880.1_BraROA,1,A09,Probable aminotransferase ACS10 [Source:Projected from Arabidopsis thaliana (AT1G62960) UniProtKB/Swiss-Prot;Acc:Q9LQ10],9308205,9310085,9308205
A08p007390.1_BraROA,-1,A08,,4357278,4358905,4358905
A07p008290.1_BraROA,1,A07,"Endo-1,4-beta-xylanase 4 [Source:Projected from Arabidopsis thaliana (AT2G14690) UniProtKB/Swiss-Prot;Acc:Q680B7]",4874960,4877592,4874960
A08p034920.1_BraROA,1,A08,,20681502,20682931,20681502
A09p004250.1_BraROA,-1,A09,,2430489,2439735,2439735
A10p025270.1_BraROA,-1,A10,,16235893,16238934,16238934
A06p008800.1_BraROA,1,A06,,3075799,3078996,3075799
A04p012420.1_BraROA,-1,JADBGQ010000103.1,,72942,74677,74677
A01p020470.1_BraROA,1,A01,,10049425,10050756,10049425
A02p032750.1_BraROA,-1,A02,Phospholipase D beta 2 [Source:Projected from Arabidopsis thaliana (AT4G00240) UniProtKB/Swiss-Prot;Acc:O23078],17187974,17195044,17195044
A09p022290.1_BraROA,-1,A09,,12279429,12281871,12281871
A09g504620.1_BraROA,-1,A09,,14083130,14089351,14089351
A05g504210.1_BraROA,1,A05,,11626728,11628790,11626728
A09g513400.1_BraROA,-1,A09,,40729522,40730511,40730511
A01p004050.1_BraROA,1,A01,,1747474,1750209,1747474
A01g503370.1_BraROA,-1,A01,,10681481,10682107,10682107
A03p034990.1_BraROA,1,JADBGQ010000011.1,,3341,7575,3341
A09p012460.1_BraROA,1,A09,,6361185,6365160,6361185
A08p024880.1_BraROA,-1,A08,,16139307,16140913,16140913
A10p034370.1_BraROA,-1,A10,,19995875,19998442,19998442
A05p032020.1_BraROA,-1,A05,,18101758,18103626,18103626
A07p019160.1_BraROA,-1,A07,,11392986,11399003,11399003
A09p045790.1_BraROA,1,A09,,40106578,40109090,40106578
A08p013450.1_BraROA,-1,A08,,8207999,8209334,8209334
A09p061400.1_BraROA,1,A09,,50627105,50632622,50627105
A10p002200.1_BraROA,-1,A10,,1143578,1144435,1144435
SC170g500030.1_BraROA,1,JADBGQ010000043.1,,119270,121718,119270
A05p006630.1_BraROA,-1,A05,,2663943,2665119,2665119
A03p006580.1_BraROA,-1,A03,,2771279,2773053,2773053
A07p022560.1_BraROA,-1,A07,,13160932,13162627,13162627
A01p003660.1_BraROA,-1,A01,,1594007,1598530,1598530
A10p020990.1_BraROA,1,A10,,14152999,14154073,14152999
A09g507900.1_BraROA,-1,A09,,22625349,22628383,22628383
A08p002180.1_BraROA,-1,A08,,1237216,1240036,1240036
A09p035610.1_BraROA,-1,A09,,21361534,21364014,21364014
A01p047820.1_BraROA,-1,A01,,26976000,26981425,26981425
A02p042670.1_BraROA,1,A02,,26773662,26774792,26773662
A07g506010.1_BraROA,-1,A07,,14102139,14105047,14105047
A04g507860.1_BraROA,-1,A04,,20090762,20092484,20092484
A08p039470.1_BraROA,-1,A08,,22691819,22694508,22694508
A08p011050.1_BraROA,-1,A08,,9119446,9120438,9120438
A09p019040.1_BraROA,1,A09,,10065608,10066176,10065608
A09p013740.1_BraROA,1,A09,,7120308,7123226,7120308
A06p056690.1_BraROA,-1,A06,,29508999,29509545,29509545
A10p013340.1_BraROA,1,A10,,4856116,4862293,4856116
A08g505170.1_BraROA,1,A08,,8563869,8564376,8563869
A10p030470.1_BraROA,1,A10,,18414214,18415278,18414214
A03p015780.1_BraROA,1,A03,,6264871,6265899,6264871
A02g500880.1_BraROA,-1,A02,,2777871,2778478,2778478
A08g506780.1_BraROA,1,A08,,11751155,11754679,11751155
A04g505770.1_BraROA,-1,A04,,12048986,12060452,12060452
A07p044470.1_BraROA,-1,A07,At1g71030/F23N20_2 [Source:Projected from Arabidopsis thaliana (AT1G71030) UniProtKB/TrEMBL;Acc:Q9C9A5],24257017,24257873,24257873
A03p039980.1_BraROA,1,A03,,16642747,16644146,16642747
A01p021590.1_BraROA,1,A01,"Formyltetrahydrofolate deformylase 2, mitochondrial [Source:Projected from Arabidopsis thaliana (AT4G17360) UniProtKB/Swiss-Prot;Acc:F4JP46]",10533244,10534970,10533244
A10p000320.1_BraROA,-1,A10,Putative recombination initiation defects 3 [Source:Projected from Arabidopsis thaliana (AT1G01690) UniProtKB/TrEMBL;Acc:F4HU48],171076,177119,177119
A10p022070.1_BraROA,-1,A10,Phosphoinositide phospholipase C 5 [Source:Projected from Arabidopsis thaliana (AT5G58690) UniProtKB/Swiss-Prot;Acc:Q944C2],14631376,14647868,14647868
A02p049680.1_BraROA,1,A02,,30763402,30764673,30763402
SC139g500070.1_BraROA,1,JADBGQ010000025.1,,231161,241463,231161
A07p009490.1_BraROA,1,A07,Subtilisin-like protease SBT1.8 [Source:Projected from Arabidopsis thaliana (AT2G05920) UniProtKB/Swiss-Prot;Acc:Q9ZUF6],5867566,5870013,5867566
A01p023040.1_BraROA,-1,A01,,11372660,11375521,11375521
A08p041520.1_BraROA,1,A08,Deoxyribodipyrimidine photo-lyase [Source:Projected from Arabidopsis thaliana (AT1G12370) UniProtKB/Swiss-Prot;Acc:Q9SB00],23415909,23418132,23415909
A03p026180.1_BraROA,-1,A03,,11006822,11009020,11009020
A06p058140.1_BraROA,1,A06,,30203186,30208404,30203186
A09p016880.1_BraROA,-1,A09,,8814085,8814732,8814732
A06p050180.1_BraROA,-1,A06,,26418386,26420654,26420654
A02p025390.1_BraROA,-1,A02,,12264459,12266384,12266384
A02p019590.1_BraROA,-1,A02,,9030408,9037287,9037287
A02g500670.1_BraROA,1,A02,,1802230,1802729,1802230
A05p014800.1_BraROA,-1,A05,,6518014,6519477,6519477
A05p034950.1_BraROA,1,A05,,19753312,19755201,19753312
A05g506860.1_BraROA,-1,A05,,19344258,19346630,19346630
A01p007080.1_BraROA,-1,A01,,3553948,3555092,3555092
A06p014550.1_BraROA,-1,A06,E3 ubiquitin-protein ligase DA2L [Source:Projected from Arabidopsis thaliana (AT1G17145) UniProtKB/Swiss-Prot;Acc:Q940G8],6519230,6521845,6521845
A09p063390.1_BraROA,1,A09,,51486138,51486974,51486138
A04g503000.1_BraROA,1,A04,,6629960,6631529,6629960
A04p024450.1_BraROA,-1,A04,,14786116,14816406,14816406
A03p022070.1_BraROA,-1,A03,,8837220,8838590,8838590
A09p068920.1_BraROA,1,A09,Probable protein phosphatase 2C 22 [Source:Projected from Arabidopsis thaliana (AT2G25620) UniProtKB/Swiss-Prot;Acc:Q9SLA1],53855018,53856415,53855018
A09g507130.1_BraROA,1,A09,,20961499,20962007,20961499
A05p033620.1_BraROA,1,A05,,22456789,22462377,22456789
A09p059300.1_BraROA,-1,A09,,49649316,49653925,49653925
A05g500270.1_BraROA,1,A05,,1144978,1145412,1144978
A07p033500.1_BraROA,1,A07,,18330043,18334755,18330043
A04p017380.1_BraROA,-1,A04,,10632890,10634452,10634452
A02p032210.1_BraROA,-1,A02,,16890414,16891551,16891551
A05p039220.1_BraROA,-1,A05,,23962908,23966895,23966895
SC165g500070.1_BraROA,1,JADBGQ010000040.1,,103075,104639,103075
A03p055070.1_BraROA,1,A03,,23724436,23725250,23724436
A06p057110.1_BraROA,1,A06,,29693578,29694174,29693578
A05p047280.1_BraROA,1,A05,,27868100,27879285,27868100
A10p025390.1_BraROA,-1,A10,,16304156,16305742,16305742
A02g501770.1_BraROA,1,A02,,5583708,5584630,5583708
A01p002300.1_BraROA,-1,A01,,1049425,1052493,1052493
A08p027450.1_BraROA,1,A08,,17338278,17339943,17338278
A09p048150.1_BraROA,1,A09,,41703847,41705214,41703847
A09g502110.1_BraROA,-1,A09,,7444705,7447957,7447957
A05p015640.1_BraROA,-1,A05,,6952409,6952840,6952840
A04g501340.1_BraROA,-1,A04,,3403782,3404036,3404036
A09p082160.1_BraROA,1,A09,,59564622,59569169,59564622
A02g508020.1_BraROA,1,A02,,22257805,22258887,22257805
A07p046660.1_BraROA,1,A07,SMU1 [Source:Projected from Arabidopsis thaliana (AT1G73720) UniProtKB/TrEMBL;Acc:A0A178WHG8],25157215,25160747,25157215
A01g505690.1_BraROA,-1,A01,,16887189,16894561,16894561
A09p056550.1_BraROA,1,A09,,48048977,48051628,48048977
A06g505300.1_BraROA,-1,A06,,15656176,15656787,15656787
A10p005690.1_BraROA,-1,A10,,9420129,9421596,9421596
A03p068870.1_BraROA,-1,A03,BEL1-like homeodomain protein 6 [Source:Projected from Arabidopsis thaliana (AT4G34610) UniProtKB/Swiss-Prot;Acc:O65685],30171055,30173181,30173181
A06g506060.1_BraROA,-1,A06,,17209238,17210087,17210087
A03p036680.1_BraROA,-1,A03,,15354091,15361954,15361954
A09p021210.1_BraROA,1,A09,XF1 [Source:Projected from Arabidopsis thaliana (AT1G58440) UniProtKB/TrEMBL;Acc:A0A178W2I2],11296799,11299270,11296799
A02p030850.1_BraROA,-1,A02,,13619310,13620642,13620642
A09p003140.1_BraROA,1,A09,ERF1-3 [Source:Projected from Arabidopsis thaliana (AT3G26618) UniProtKB/TrEMBL;Acc:A0A178VIS2],1846281,1847588,1846281
A07p025570.1_BraROA,1,A07,,14705167,14706705,14705167
A10g504640.1_BraROA,-1,A10,,11309214,11309988,11309988
SC276g500040.1_BraROA,1,JADBGQ010000123.1,,29533,32027,29533
A02g500070.1_BraROA,1,A02,,146258,147185,146258
A01p000960.1_BraROA,1,A01,,375651,376190,375651
A10p002850.1_BraROA,1,A10,,1485059,1486414,1485059
A02g505990.1_BraROA,-1,A02,,17339509,17339764,17339764
A05p032660.1_BraROA,-1,A05,NAC014 [Source:Projected from Arabidopsis thaliana (AT1G33060) UniProtKB/TrEMBL;Acc:A0A178WRQ2],17786087,17788505,17788505
A10g502150.1_BraROA,1,A10,,5694602,5694857,5694602
A08p027860.1_BraROA,1,A08,,17510951,17512338,17510951
A10p029930.1_BraROA,-1,A10,,18194415,18195278,18195278
A02g503970.1_BraROA,1,A02,,13086535,13087331,13086535
A08g502480.1_BraROA,-1,A08,,5419571,5425498,5425498
A04p020230.1_BraROA,-1,A04,,12326310,12330096,12330096
A05g500180.1_BraROA,1,A05,,844248,846062,844248
A05p049700.1_BraROA,-1,A05,,28882927,28884794,28884794
A07g506320.1_BraROA,-1,A07,,15121767,15122292,15122292
A02p017180.1_BraROA,1,A02,,7710959,7712077,7710959
A10g506890.1_BraROA,-1,A10,,20452010,20454462,20454462
A10p036250.1_BraROA,-1,A10,,20678799,20681783,20681783
A01g504970.1_BraROA,-1,A01,,14885575,14886449,14886449
A09p057790.1_BraROA,1,A09,,48571029,48572587,48571029
A04g507210.1_BraROA,1,A04,,17473227,17477780,17473227
A09p025850.1_BraROA,1,A09,,15041371,15042032,15041371
A06p006370.1_BraROA,1,A06,,2115597,2116643,2115597
A02p018060.1_BraROA,1,A02,,8247588,8248304,8247588
A06p017600.1_BraROA,1,A06,,7916003,7919664,7916003
A03p030310.1_BraROA,1,A03,Light-mediated development protein DET1 [Source:Projected from Arabidopsis thaliana (AT4G10180) UniProtKB/Swiss-Prot;Acc:P48732],12725443,12727954,12725443
A05p006920.1_BraROA,1,A05,,2793069,2794041,2793069
A01g505520.1_BraROA,-1,A01,,16462539,16463533,16463533
A04p016240.1_BraROA,-1,A04,,9992249,9992614,9992614
A10p029890.1_BraROA,1,A10,,18176492,18177505,18176492
A08p016120.1_BraROA,1,A08,KAR-UP F-box 1 [Source:Projected from Arabidopsis thaliana (AT1G31350) TAIR;Acc:AT1G31350],10482050,10483192,10482050
A02g504360.1_BraROA,1,A02,,14467385,14468454,14467385
A02p018230.1_BraROA,1,A02,,8354494,8355930,8354494
A02p042880.1_BraROA,1,A02,WUSCHEL-related homeobox 8 [Source:Projected from Arabidopsis thaliana (AT5G45980) UniProtKB/Swiss-Prot;Acc:Q6X7J5],26899915,26901474,26899915
A07p016090.1_BraROA,-1,A07,,9914979,9918171,9918171
A08p028260.1_BraROA,-1,A08,,17738966,17739928,17739928
A10p024220.1_BraROA,-1,A10,,15678417,15681567,15681567
A08p027900.1_BraROA,-1,A08,,17555619,17564714,17564714
A07p019500.1_BraROA,1,A07,,11575019,11578107,11575019
A04p031230.1_BraROA,1,A04,,18461782,18465712,18461782
A02g509860.1_BraROA,-1,A02,,26357105,26357687,26357687
SC176g500040.1_BraROA,-1,JADBGQ010000046.1,,42276,46752,46752
A02g507730.1_BraROA,1,A02,,21431187,21431653,21431187
A02p032190.1_BraROA,1,A02,Gibberellin 3-beta-dioxygenase 2 [Source:Projected from Arabidopsis thaliana (AT1G80340) UniProtKB/Swiss-Prot;Acc:Q9ZT84],16886724,16888316,16886724
A09p071480.1_BraROA,1,A09,Non-functional target of rapamycin complex subunit LST8-2 [Source:Projected from Arabidopsis thaliana (AT2G22040) UniProtKB/Swiss-Prot;Acc:F4IIK6],55143955,55145931,55143955
A01p013610.1_BraROA,-1,A01,F-box protein SKIP27 [Source:Projected from Arabidopsis thaliana (AT4G21510) UniProtKB/Swiss-Prot;Acc:O65416],6646777,6647563,6647563
A07p038510.1_BraROA,1,A07,,20482316,20484035,20482316
A10p021430.1_BraROA,-1,A10,,14405471,14409064,14409064
A01p001540.1_BraROA,-1,A01,,665915,667554,667554
A03g502240.1_BraROA,1,A03,,7257727,7258823,7257727
A05p016950.1_BraROA,-1,A05,,7561169,7562873,7562873
A01g504160.1_BraROA,1,A01,,12629561,12630379,12629561
A08p044450.1_BraROA,-1,A08,,24569558,24570087,24570087
A03p069720.1_BraROA,1,A03,,30634504,30642936,30634504
A05g510220.1_BraROA,1,A05,,31777337,31779604,31777337
A09p010050.1_BraROA,1,A09,,5149620,5152684,5149620
A02g501650.1_BraROA,-1,A02,,5383611,5384819,5384819
A08p026760.1_BraROA,-1,A08,,16992868,16998112,16998112
A02p057830.1_BraROA,1,A02,,34791356,34793025,34791356
A06g507840.1_BraROA,1,A06,,21862601,21864930,21862601
A08p019220.1_BraROA,-1,A08,,13145090,13146511,13146511
A09g509080.1_BraROA,-1,A09,,25308277,25310715,25310715
A08p020570.1_BraROA,1,A08,,13891316,13899126,13891316
A06p049080.1_BraROA,-1,A06,Zinc finger AN1 domain-containing stress-associated protein 12 [Source:Projected from Arabidopsis thaliana (AT3G28210) UniProtKB/Swiss-Prot;Acc:Q67YE6],25958026,25958680,25958680
A10p022340.1_BraROA,-1,A10,,14750476,14752014,14752014
A10p030580.1_BraROA,1,A10,,18472186,18473395,18472186
A10p040570.1_BraROA,1,A10,,22332509,22335872,22332509
A02g502320.1_BraROA,-1,A02,,7471188,7471505,7471505
A04g504030.1_BraROA,1,A04,,8437960,8439391,8437960
A09p031030.1_BraROA,1,A09,,18856157,18857442,18856157
A09p002190.1_BraROA,1,A09,,1550418,1552719,1550418
A10p026540.1_BraROA,-1,A10,"Outer envelope protein 80, chloroplastic [Source:Projected from Arabidopsis thaliana (AT5G19620) UniProtKB/Swiss-Prot;Acc:Q9C5J8]",16818006,16822397,16822397
A10g502080.1_BraROA,1,A10,,5536072,5541775,5536072
A10p001220.1_BraROA,-1,A10,,641006,641912,641912
A10p030850.1_BraROA,1,A10,"Peptide deformylase 1B, chloroplastic/mitochondrial [Source:Projected from Arabidopsis thaliana (AT5G14660) UniProtKB/Swiss-Prot;Acc:Q9FUZ2]",18584352,18586082,18584352
A08g502300.1_BraROA,1,A08,,5105088,5110129,5105088
A09p073810.1_BraROA,1,A09,,56150547,56153680,56150547
A09p018420.1_BraROA,-1,A09,,9656865,9658297,9658297
A10p019700.1_BraROA,-1,A10,,13474140,13476083,13476083
A10g503930.1_BraROA,1,A10,,9803888,9805390,9803888
A10p039820.1_BraROA,-1,A10,,22027969,22028562,22028562
A10p027820.1_BraROA,1,A10,,17432302,17433352,17432302
A09g507860.1_BraROA,1,A09,,22444011,22445373,22444011
A07p039740.1_BraROA,-1,A07,,21112991,21114267,21114267
A09p034510.1_BraROA,-1,A09,ELP6 [Source:Projected from Arabidopsis thaliana (AT4G10090) UniProtKB/TrEMBL;Acc:A0A178V2M9],20882943,20884213,20884213
A05p041250.1_BraROA,-1,A05,Pre-mRNA-splicing factor SPF27 homolog [Source:Projected from Arabidopsis thaliana (AT3G18165) UniProtKB/Swiss-Prot;Acc:Q949S9],25080593,25082326,25082326
A01g505870.1_BraROA,-1,A01,,17471613,17471907,17471907
A01p009860.1_BraROA,-1,A01,12S seed storage protein CRC [Source:Projected from Arabidopsis thaliana (AT4G28520) UniProtKB/Swiss-Prot;Acc:Q96318],4786529,4788549,4788549
A05p020140.1_BraROA,-1,A05,RNA polymerase II transcription mediators [Source:Projected from Arabidopsis thaliana (AT1G55325) TAIR;Acc:AT1G55325],9445145,9453987,9453987
A09p073520.1_BraROA,-1,A09,,56029777,56032049,56032049
A06p002330.1_BraROA,1,A06,,5212530,5215761,5212530
A02p002970.1_BraROA,-1,A02,SOB5 [Source:Projected from Arabidopsis thaliana (AT5G08150) UniProtKB/TrEMBL;Acc:A0A178UHR3],1252153,1255323,1255323
A06p013650.1_BraROA,1,A06,,6174953,6176774,6174953
A04g507770.1_BraROA,1,A04,,19634720,19635215,19634720
A09p019800.1_BraROA,1,A09,ADP-ribosylation factor GTPase-activating protein AGD2 [Source:Projected from Arabidopsis thaliana (AT1G60860) UniProtKB/Swiss-Prot;Acc:Q9C6C3],10539960,10545219,10539960
A09g501970.1_BraROA,1,A09,,7020497,7025031,7020497
A09p009230.1_BraROA,1,A09,,4773496,4774654,4773496
A02p049700.1_BraROA,1,A02,,30766247,30768057,30766247
A09p000370.1_BraROA,1,A09,,189064,190919,189064
A08g502790.1_BraROA,-1,A08,,5710763,5712545,5712545
A01p009430.1_BraROA,-1,A01,,4558439,4559973,4559973
A09p051530.1_BraROA,1,A09,,45438303,45441203,45438303
A07g507160.1_BraROA,-1,A07,,18643983,18644717,18644717
A05p029960.1_BraROA,1,A05,,15184385,15186038,15184385
A09p041850.1_BraROA,-1,A09,,23636922,23637497,23637497
A08p045670.1_BraROA,1,A08,Malate dehydrogenase [Source:Projected from Arabidopsis thaliana (AT1G04410) UniProtKB/TrEMBL;Acc:A0A178W4H0],24998013,25000013,24998013
A07p041180.1_BraROA,-1,A07,,22249337,22252682,22252682
A09g501750.1_BraROA,-1,A09,,6457916,6458219,6458219
A04g504130.1_BraROA,1,A04,,8614275,8614523,8614275
A02p045660.1_BraROA,1,A02,,28591172,28592902,28591172
A08p004640.1_BraROA,1,A08,,2720883,2721301,2720883
A02p051990.1_BraROA,1,A02,,31755092,31758310,31755092
A06g503150.1_BraROA,1,A06,LSU1 [Source:Projected from Arabidopsis thaliana (AT3G49580) UniProtKB/TrEMBL;Acc:A0A178VF66],9891892,9892173,9891892
A09p011750.1_BraROA,1,A09,,5961586,5962135,5961586
A09p067630.1_BraROA,-1,A09,,53283987,53286110,53286110
A03p026430.1_BraROA,-1,A03,,11067130,11067387,11067387
A10p023280.1_BraROA,-1,A10,,15233357,15234901,15234901
A09g513950.1_BraROA,1,A09,,42198608,42201510,42198608
A03p053320.1_BraROA,1,A03,,22867416,22868114,22867416
A09p049800.1_BraROA,-1,A09,,43940530,43946153,43946153
A01p050770.1_BraROA,1,JADBGQ010000148.1,,10161,10568,10161
A01p016330.1_BraROA,1,A01,,8076013,8079559,8076013
A09p060530.1_BraROA,1,A09,MRH2 [Source:Projected from Arabidopsis thaliana (AT3G54870) UniProtKB/TrEMBL;Acc:A0A178V659],50176463,50182176,50176463
A08p038310.1_BraROA,1,A08,,24516445,24517721,24516445
A05g505300.1_BraROA,1,A05,,14654420,14656861,14654420
A04p034320.1_BraROA,1,A04,,19901758,19902858,19901758
A07p043380.1_BraROA,-1,A07,,23741600,23743073,23743073
A01p055180.1_BraROA,1,A01,,31303039,31304233,31303039
SC127g500030.1_BraROA,1,JADBGQ010000020.1,,72001,75037,72001
A08p022380.1_BraROA,1,A08,SRF8 [Source:Projected from Arabidopsis thaliana (AT4G22130) UniProtKB/TrEMBL;Acc:A0A384KGH4],14828844,14832013,14828844
A01p005580.1_BraROA,-1,A01,Nuclear pore complex protein NUP85 [Source:Projected from Arabidopsis thaliana (AT4G32910) UniProtKB/Swiss-Prot;Acc:Q8RXH2],2407507,2411275,2411275
A02p026140.1_BraROA,1,A02,,13711995,13715046,13711995
A08p002950.1_BraROA,1,A08,,1627500,1628114,1627500
A03p064070.1_BraROA,-1,A03,,27870010,27871894,27871894
A03p020140.1_BraROA,-1,A03,,8256831,8258610,8258610
A06g504370.1_BraROA,1,A06,,13800799,13803461,13800799
A09p068800.1_BraROA,1,A09,,53797239,53799884,53797239
A05p004950.1_BraROA,1,A05,,1928984,1930336,1928984
A03p001400.1_BraROA,1,A03,,688569,689831,688569
A07g502810.1_BraROA,-1,A07,,5764153,5764518,5764518
A07p051460.1_BraROA,-1,A07,Protein FORGETTER 1 [Source:Projected from Arabidopsis thaliana (AT1G79350) UniProtKB/Swiss-Prot;Acc:F4IF36],27313985,27322259,27322259
A02g510460.1_BraROA,-1,A02,,27637454,27642194,27642194
A09p046170.1_BraROA,1,A09,,40352336,40355178,40352336
A10p033210.1_BraROA,-1,A10,,19474373,19481484,19481484
